pix_x	pix_y	Flag
133	36	1
134	33	1
134	34	1
134	35	1
134	36	1
134	37	1
134	38	1
134	39	1
135	32	1
135	33	1
135	34	1
135	35	1
135	36	1
135	37	1
135	38	1
135	39	1
135	40	1
136	32	1
136	33	1
136	34	1
136	35	1
136	36	1
136	37	1
136	38	1
136	39	1
136	40	1
137	32	1
137	33	1
137	34	1
137	35	1
137	36	1
137	37	1
137	38	1
137	39	1
137	40	1
138	31	1
138	32	1
138	33	1
138	34	1
138	35	1
138	36	1
138	37	1
138	38	1
138	39	1
138	40	1
138	41	1
139	32	1
139	33	1
139	34	1
139	35	1
139	36	1
139	37	1
139	38	1
139	39	1
139	40	1
140	32	1
140	33	1
140	34	1
140	35	1
140	36	1
140	37	1
140	38	1
140	39	1
140	40	1
141	32	1
141	33	1
141	34	1
141	35	1
141	36	1
141	37	1
141	38	1
141	39	1
141	40	1
142	33	1
142	34	1
142	35	1
142	36	1
142	37	1
142	38	1
142	39	1
143	36	1
121	65	1
121	66	1
121	67	1
122	64	1
122	65	1
122	66	1
122	67	1
122	68	1
123	64	1
123	65	1
123	66	1
123	67	1
123	68	1
124	64	1
124	65	1
124	66	1
124	67	1
124	68	1
125	65	1
125	66	1
125	67	1
96	52	1
97	50	1
97	51	1
97	52	1
97	53	1
97	54	1
98	50	1
98	51	1
98	52	1
98	53	1
98	54	1
99	49	1
99	50	1
99	51	1
99	52	1
99	53	1
99	54	1
99	55	1
100	50	1
100	51	1
100	52	1
100	53	1
100	54	1
101	50	1
101	51	1
101	52	1
101	53	1
101	54	1
102	52	1
95	63	1
96	61	1
96	62	1
96	63	1
96	64	1
96	65	1
97	61	1
97	62	1
97	63	1
97	64	1
97	65	1
98	60	1
98	61	1
98	62	1
98	63	1
98	64	1
98	65	1
98	66	1
99	61	1
99	62	1
99	63	1
99	64	1
99	65	1
100	61	1
100	62	1
100	63	1
100	64	1
100	65	1
101	63	1
