pix_x	pix_y	Flag
44	120	1
45	118	1
45	119	1
45	120	1
45	121	1
45	122	1
46	117	1
46	118	1
46	119	1
46	120	1
46	121	1
46	122	1
46	123	1
47	117	1
47	118	1
47	119	1
47	120	1
47	121	1
47	122	1
47	123	1
48	116	1
48	117	1
48	118	1
48	119	1
48	120	1
48	121	1
48	122	1
48	123	1
48	124	1
49	117	1
49	118	1
49	119	1
49	120	1
49	121	1
49	122	1
49	123	1
50	117	1
50	118	1
50	119	1
50	120	1
50	121	1
50	122	1
50	123	1
51	118	1
51	119	1
51	120	1
51	121	1
51	122	1
52	120	1
43	120	1
44	117	1
44	118	1
44	119	1
44	120	1
44	121	1
44	122	1
44	123	1
45	116	1
45	117	1
45	118	1
45	119	1
45	120	1
45	121	1
45	122	1
45	123	1
45	124	1
46	116	1
46	117	1
46	118	1
46	119	1
46	120	1
46	121	1
46	122	1
46	123	1
46	124	1
47	116	1
47	117	1
47	118	1
47	119	1
47	120	1
47	121	1
47	122	1
47	123	1
47	124	1
48	115	1
48	116	1
48	117	1
48	118	1
48	119	1
48	120	1
48	121	1
48	122	1
48	123	1
48	124	1
48	125	1
49	116	1
49	117	1
49	118	1
49	119	1
49	120	1
49	121	1
49	122	1
49	123	1
49	124	1
50	116	1
50	117	1
50	118	1
50	119	1
50	120	1
50	121	1
50	122	1
50	123	1
50	124	1
51	116	1
51	117	1
51	118	1
51	119	1
51	120	1
51	121	1
51	122	1
51	123	1
51	124	1
52	117	1
52	118	1
52	119	1
52	120	1
52	121	1
52	122	1
52	123	1
53	120	1
40	122	1
41	119	1
41	120	1
41	121	1
41	122	1
41	123	1
41	124	1
41	125	1
42	118	1
42	119	1
42	120	1
42	121	1
42	122	1
42	123	1
42	124	1
42	125	1
42	126	1
43	117	1
43	118	1
43	119	1
43	120	1
43	121	1
43	122	1
43	123	1
43	124	1
43	125	1
43	126	1
43	127	1
44	116	1
44	117	1
44	118	1
44	119	1
44	120	1
44	121	1
44	122	1
44	123	1
44	124	1
44	125	1
44	126	1
44	127	1
44	128	1
45	116	1
45	117	1
45	118	1
45	119	1
45	120	1
45	121	1
45	122	1
45	123	1
45	124	1
45	125	1
45	126	1
45	127	1
45	128	1
46	116	1
46	117	1
46	118	1
46	119	1
46	120	1
46	121	1
46	122	1
46	123	1
46	124	1
46	125	1
46	126	1
46	127	1
46	128	1
47	115	1
47	116	1
47	117	1
47	118	1
47	119	1
47	120	1
47	121	1
47	122	1
47	123	1
47	124	1
47	125	1
47	126	1
47	127	1
47	128	1
47	129	1
48	116	1
48	117	1
48	118	1
48	119	1
48	120	1
48	121	1
48	122	1
48	123	1
48	124	1
48	125	1
48	126	1
48	127	1
48	128	1
49	116	1
49	117	1
49	118	1
49	119	1
49	120	1
49	121	1
49	122	1
49	123	1
49	124	1
49	125	1
49	126	1
49	127	1
49	128	1
50	116	1
50	117	1
50	118	1
50	119	1
50	120	1
50	121	1
50	122	1
50	123	1
50	124	1
50	125	1
50	126	1
50	127	1
50	128	1
51	117	1
51	118	1
51	119	1
51	120	1
51	121	1
51	122	1
51	123	1
51	124	1
51	125	1
51	126	1
51	127	1
52	118	1
52	119	1
52	120	1
52	121	1
52	122	1
52	123	1
52	124	1
52	125	1
52	126	1
53	119	1
53	120	1
53	121	1
53	122	1
53	123	1
53	124	1
53	125	1
54	122	1
37	122	1
38	118	1
38	119	1
38	120	1
38	121	1
38	122	1
38	123	1
38	124	1
38	125	1
38	126	1
39	116	1
39	117	1
39	118	1
39	119	1
39	120	1
39	121	1
39	122	1
39	123	1
39	124	1
39	125	1
39	126	1
39	127	1
39	128	1
40	115	1
40	116	1
40	117	1
40	118	1
40	119	1
40	120	1
40	121	1
40	122	1
40	123	1
40	124	1
40	125	1
40	126	1
40	127	1
40	128	1
40	129	1
41	114	1
41	115	1
41	116	1
41	117	1
41	118	1
41	119	1
41	120	1
41	121	1
41	122	1
41	123	1
41	124	1
41	125	1
41	126	1
41	127	1
41	128	1
41	129	1
41	130	1
42	114	1
42	115	1
42	116	1
42	117	1
42	118	1
42	119	1
42	120	1
42	121	1
42	122	1
42	123	1
42	124	1
42	125	1
42	126	1
42	127	1
42	128	1
42	129	1
42	130	1
43	113	1
43	114	1
43	115	1
43	116	1
43	117	1
43	118	1
43	119	1
43	120	1
43	121	1
43	122	1
43	123	1
43	124	1
43	125	1
43	126	1
43	127	1
43	128	1
43	129	1
43	130	1
43	131	1
44	113	1
44	114	1
44	115	1
44	116	1
44	117	1
44	118	1
44	119	1
44	120	1
44	121	1
44	122	1
44	123	1
44	124	1
44	125	1
44	126	1
44	127	1
44	128	1
44	129	1
44	130	1
44	131	1
45	113	1
45	114	1
45	115	1
45	116	1
45	117	1
45	118	1
45	119	1
45	120	1
45	121	1
45	122	1
45	123	1
45	124	1
45	125	1
45	126	1
45	127	1
45	128	1
45	129	1
45	130	1
45	131	1
46	113	1
46	114	1
46	115	1
46	116	1
46	117	1
46	118	1
46	119	1
46	120	1
46	121	1
46	122	1
46	123	1
46	124	1
46	125	1
46	126	1
46	127	1
46	128	1
46	129	1
46	130	1
46	131	1
47	112	1
47	113	1
47	114	1
47	115	1
47	116	1
47	117	1
47	118	1
47	119	1
47	120	1
47	121	1
47	122	1
47	123	1
47	124	1
47	125	1
47	126	1
47	127	1
47	128	1
47	129	1
47	130	1
47	131	1
47	132	1
48	113	1
48	114	1
48	115	1
48	116	1
48	117	1
48	118	1
48	119	1
48	120	1
48	121	1
48	122	1
48	123	1
48	124	1
48	125	1
48	126	1
48	127	1
48	128	1
48	129	1
48	130	1
48	131	1
49	113	1
49	114	1
49	115	1
49	116	1
49	117	1
49	118	1
49	119	1
49	120	1
49	121	1
49	122	1
49	123	1
49	124	1
49	125	1
49	126	1
49	127	1
49	128	1
49	129	1
49	130	1
49	131	1
50	113	1
50	114	1
50	115	1
50	116	1
50	117	1
50	118	1
50	119	1
50	120	1
50	121	1
50	122	1
50	123	1
50	124	1
50	125	1
50	126	1
50	127	1
50	128	1
50	129	1
50	130	1
50	131	1
51	113	1
51	114	1
51	115	1
51	116	1
51	117	1
51	118	1
51	119	1
51	120	1
51	121	1
51	122	1
51	123	1
51	124	1
51	125	1
51	126	1
51	127	1
51	128	1
51	129	1
51	130	1
51	131	1
52	114	1
52	115	1
52	116	1
52	117	1
52	118	1
52	119	1
52	120	1
52	121	1
52	122	1
52	123	1
52	124	1
52	125	1
52	126	1
52	127	1
52	128	1
52	129	1
52	130	1
53	114	1
53	115	1
53	116	1
53	117	1
53	118	1
53	119	1
53	120	1
53	121	1
53	122	1
53	123	1
53	124	1
53	125	1
53	126	1
53	127	1
53	128	1
53	129	1
53	130	1
54	115	1
54	116	1
54	117	1
54	118	1
54	119	1
54	120	1
54	121	1
54	122	1
54	123	1
54	124	1
54	125	1
54	126	1
54	127	1
54	128	1
54	129	1
55	116	1
55	117	1
55	118	1
55	119	1
55	120	1
55	121	1
55	122	1
55	123	1
55	124	1
55	125	1
55	126	1
55	127	1
55	128	1
56	118	1
56	119	1
56	120	1
56	121	1
56	122	1
56	123	1
56	124	1
56	125	1
56	126	1
57	122	1
4	107	1
5	105	1
5	106	1
5	107	1
5	108	1
5	109	1
6	104	1
6	105	1
6	106	1
6	107	1
6	108	1
6	109	1
6	110	1
7	104	1
7	105	1
7	106	1
7	107	1
7	108	1
7	109	1
7	110	1
8	103	1
8	104	1
8	105	1
8	106	1
8	107	1
8	108	1
8	109	1
8	110	1
8	111	1
9	104	1
9	105	1
9	106	1
9	107	1
9	108	1
9	109	1
9	110	1
10	104	1
10	105	1
10	106	1
10	107	1
10	108	1
10	109	1
10	110	1
11	105	1
11	106	1
11	107	1
11	108	1
11	109	1
12	107	1
