pix_x	pix_y	Flag
46	41	1
47	39	1
47	40	1
47	41	1
47	42	1
47	43	1
48	39	1
48	40	1
48	41	1
48	42	1
48	43	1
49	38	1
49	39	1
49	40	1
49	41	1
49	42	1
49	43	1
49	44	1
50	39	1
50	40	1
50	41	1
50	42	1
50	43	1
51	39	1
51	40	1
51	41	1
51	42	1
51	43	1
52	41	1
73	100	1
74	97	1
74	98	1
74	99	1
74	100	1
74	101	1
74	102	1
74	103	1
75	96	1
75	97	1
75	98	1
75	99	1
75	100	1
75	101	1
75	102	1
75	103	1
75	104	1
76	95	1
76	96	1
76	97	1
76	98	1
76	99	1
76	100	1
76	101	1
76	102	1
76	103	1
76	104	1
76	105	1
77	94	1
77	95	1
77	96	1
77	97	1
77	98	1
77	99	1
77	100	1
77	101	1
77	102	1
77	103	1
77	104	1
77	105	1
77	106	1
78	94	1
78	95	1
78	96	1
78	97	1
78	98	1
78	99	1
78	100	1
78	101	1
78	102	1
78	103	1
78	104	1
78	105	1
78	106	1
79	94	1
79	95	1
79	96	1
79	97	1
79	98	1
79	99	1
79	100	1
79	101	1
79	102	1
79	103	1
79	104	1
79	105	1
79	106	1
80	93	1
80	94	1
80	95	1
80	96	1
80	97	1
80	98	1
80	99	1
80	100	1
80	101	1
80	102	1
80	103	1
80	104	1
80	105	1
80	106	1
80	107	1
81	94	1
81	95	1
81	96	1
81	97	1
81	98	1
81	99	1
81	100	1
81	101	1
81	102	1
81	103	1
81	104	1
81	105	1
81	106	1
82	94	1
82	95	1
82	96	1
82	97	1
82	98	1
82	99	1
82	100	1
82	101	1
82	102	1
82	103	1
82	104	1
82	105	1
82	106	1
83	94	1
83	95	1
83	96	1
83	97	1
83	98	1
83	99	1
83	100	1
83	101	1
83	102	1
83	103	1
83	104	1
83	105	1
83	106	1
84	95	1
84	96	1
84	97	1
84	98	1
84	99	1
84	100	1
84	101	1
84	102	1
84	103	1
84	104	1
84	105	1
85	96	1
85	97	1
85	98	1
85	99	1
85	100	1
85	101	1
85	102	1
85	103	1
85	104	1
86	97	1
86	98	1
86	99	1
86	100	1
86	101	1
86	102	1
86	103	1
87	100	1
65	100	1
66	95	1
66	96	1
66	97	1
66	98	1
66	99	1
66	100	1
66	101	1
66	102	1
66	103	1
66	104	1
66	105	1
67	93	1
67	94	1
67	95	1
67	96	1
67	97	1
67	98	1
67	99	1
67	100	1
67	101	1
67	102	1
67	103	1
67	104	1
67	105	1
67	106	1
67	107	1
68	91	1
68	92	1
68	93	1
68	94	1
68	95	1
68	96	1
68	97	1
68	98	1
68	99	1
68	100	1
68	101	1
68	102	1
68	103	1
68	104	1
68	105	1
68	106	1
68	107	1
68	108	1
68	109	1
69	90	1
69	91	1
69	92	1
69	93	1
69	94	1
69	95	1
69	96	1
69	97	1
69	98	1
69	99	1
69	100	1
69	101	1
69	102	1
69	103	1
69	104	1
69	105	1
69	106	1
69	107	1
69	108	1
69	109	1
69	110	1
70	89	1
70	90	1
70	91	1
70	92	1
70	93	1
70	94	1
70	95	1
70	96	1
70	97	1
70	98	1
70	99	1
70	100	1
70	101	1
70	102	1
70	103	1
70	104	1
70	105	1
70	106	1
70	107	1
70	108	1
70	109	1
70	110	1
70	111	1
71	88	1
71	89	1
71	90	1
71	91	1
71	92	1
71	93	1
71	94	1
71	95	1
71	96	1
71	97	1
71	98	1
71	99	1
71	100	1
71	101	1
71	102	1
71	103	1
71	104	1
71	105	1
71	106	1
71	107	1
71	108	1
71	109	1
71	110	1
71	111	1
71	112	1
72	88	1
72	89	1
72	90	1
72	91	1
72	92	1
72	93	1
72	94	1
72	95	1
