pix_x	pix_y	Flag
8	73	1
8	74	1
8	75	1
9	72	1
9	73	1
9	74	1
9	75	1
9	76	1
10	71	1
10	72	1
10	73	1
10	74	1
10	75	1
10	76	1
10	77	1
11	71	1
11	72	1
11	73	1
11	74	1
11	75	1
11	76	1
11	77	1
12	71	1
12	72	1
12	73	1
12	74	1
12	75	1
12	76	1
12	77	1
13	72	1
13	73	1
13	74	1
13	75	1
13	76	1
14	73	1
14	74	1
14	75	1
53	123	1
53	124	1
53	125	1
54	122	1
54	123	1
54	124	1
54	125	1
54	126	1
55	122	1
55	123	1
55	124	1
55	125	1
55	126	1
56	122	1
56	123	1
56	124	1
56	125	1
56	126	1
57	123	1
57	124	1
57	125	1
74	137	1
75	135	1
75	136	1
75	137	1
75	138	1
75	139	1
76	134	1
76	135	1
76	136	1
76	137	1
76	138	1
76	139	1
76	140	1
77	134	1
77	135	1
77	136	1
77	137	1
77	138	1
77	139	1
77	140	1
78	133	1
78	134	1
78	135	1
78	136	1
78	137	1
78	138	1
78	139	1
78	140	1
78	141	1
79	134	1
79	135	1
79	136	1
79	137	1
79	138	1
79	139	1
79	140	1
80	134	1
80	135	1
80	136	1
80	137	1
80	138	1
80	139	1
80	140	1
81	135	1
81	136	1
81	137	1
81	138	1
81	139	1
82	137	1
79	143	1
80	141	1
80	142	1
80	143	1
80	144	1
80	145	1
81	141	1
81	142	1
81	143	1
81	144	1
81	145	1
82	140	1
82	141	1
82	142	1
82	143	1
82	144	1
82	145	1
82	146	1
83	141	1
83	142	1
83	143	1
83	144	1
83	145	1
84	141	1
84	142	1
84	143	1
84	144	1
84	145	1
85	143	1
3	72	1
3	73	1
3	74	1
3	75	1
3	76	1
4	70	1
4	71	1
4	72	1
4	73	1
4	74	1
4	75	1
4	76	1
4	77	1
4	78	1
5	69	1
5	70	1
5	71	1
5	72	1
5	73	1
5	74	1
5	75	1
5	76	1
5	77	1
5	78	1
5	79	1
6	69	1
6	70	1
6	71	1
6	72	1
6	73	1
6	74	1
6	75	1
6	76	1
6	77	1
6	78	1
6	79	1
7	68	1
7	69	1
7	70	1
7	71	1
7	72	1
7	73	1
7	74	1
7	75	1
7	76	1
7	77	1
7	78	1
7	79	1
7	80	1
8	68	1
8	69	1
8	70	1
8	71	1
8	72	1
8	73	1
8	74	1
8	75	1
8	76	1
8	77	1
8	78	1
8	79	1
8	80	1
9	68	1
9	69	1
9	70	1
9	71	1
9	72	1
9	73	1
9	74	1
9	75	1
9	76	1
9	77	1
9	78	1
9	79	1
9	80	1
10	68	1
10	69	1
10	70	1
10	71	1
10	72	1
10	73	1
10	74	1
10	75	1
10	76	1
10	77	1
10	78	1
10	79	1
10	80	1
11	68	1
11	69	1
11	70	1
11	71	1
11	72	1
11	73	1
11	74	1
11	75	1
11	76	1
11	77	1
11	78	1
11	79	1
11	80	1
12	69	1
12	70	1
12	71	1
12	72	1
12	73	1
12	74	1
12	75	1
12	76	1
12	77	1
12	78	1
12	79	1
13	69	1
13	70	1
13	71	1
13	72	1
13	73	1
13	74	1
13	75	1
13	76	1
13	77	1
13	78	1
13	79	1
14	70	1
14	71	1
14	72	1
14	73	1
14	74	1
14	75	1
14	76	1
14	77	1
14	78	1
15	72	1
15	73	1
15	74	1
15	75	1
15	76	1
50	122	1
50	123	1
50	124	1
50	125	1
50	126	1
51	121	1
51	122	1
51	123	1
51	124	1
51	125	1
51	126	1
51	127	1
52	120	1
52	121	1
52	122	1
52	123	1
52	124	1
52	125	1
52	126	1
52	127	1
52	128	1
53	120	1
53	121	1
53	122	1
53	123	1
53	124	1
53	125	1
53	126	1
53	127	1
53	128	1
54	120	1
54	121	1
54	122	1
54	123	1
54	124	1
54	125	1
54	126	1
54	127	1
54	128	1
55	120	1
55	121	1
55	122	1
55	123	1
55	124	1
55	125	1
55	126	1
55	127	1
55	128	1
56	120	1
56	121	1
56	122	1
56	123	1
56	124	1
56	125	1
56	126	1
56	127	1
56	128	1
57	121	1
57	122	1
57	123	1
57	124	1
57	125	1
57	126	1
57	127	1
58	122	1
58	123	1
58	124	1
58	125	1
58	126	1
75	160	1
76	152	1
76	153	1
76	154	1
76	155	1
76	156	1
76	157	1
76	158	1
