pix_x	pix_y	Flag
73	117	1
73	118	1
73	119	1
74	116	1
74	117	1
74	118	1
74	119	1
74	120	1
75	116	1
75	117	1
75	118	1
75	119	1
75	120	1
76	116	1
76	117	1
76	118	1
76	119	1
76	120	1
77	117	1
77	118	1
77	119	1
63	123	1
63	124	1
63	125	1
64	122	1
64	123	1
64	124	1
64	125	1
64	126	1
65	122	1
65	123	1
65	124	1
65	125	1
65	126	1
66	122	1
66	123	1
66	124	1
66	125	1
66	126	1
67	123	1
67	124	1
67	125	1
60	125	1
60	126	1
60	127	1
61	124	1
61	125	1
61	126	1
61	127	1
61	128	1
62	124	1
62	125	1
62	126	1
62	127	1
62	128	1
63	124	1
63	125	1
63	126	1
63	127	1
63	128	1
64	125	1
64	126	1
64	127	1
77	93	1
77	94	1
77	95	1
78	92	1
78	93	1
78	94	1
78	95	1
78	96	1
79	92	1
79	93	1
79	94	1
79	95	1
79	96	1
80	92	1
80	93	1
80	94	1
80	95	1
80	96	1
81	93	1
81	94	1
81	95	1
