pix_x	pix_y	Flag
32	127	1
33	125	1
33	126	1
33	127	1
33	128	1
33	129	1
34	125	1
34	126	1
34	127	1
34	128	1
34	129	1
35	124	1
35	125	1
35	126	1
35	127	1
35	128	1
35	129	1
35	130	1
36	125	1
36	126	1
36	127	1
36	128	1
36	129	1
37	125	1
37	126	1
37	127	1
37	128	1
37	129	1
38	127	1
63	130	1
64	128	1
64	129	1
64	130	1
64	131	1
64	132	1
65	127	1
65	128	1
65	129	1
65	130	1
65	131	1
65	132	1
65	133	1
66	127	1
66	128	1
66	129	1
66	130	1
66	131	1
66	132	1
66	133	1
67	126	1
67	127	1
67	128	1
67	129	1
67	130	1
67	131	1
67	132	1
67	133	1
67	134	1
68	127	1
68	128	1
68	129	1
68	130	1
68	131	1
68	132	1
68	133	1
69	127	1
69	128	1
69	129	1
69	130	1
69	131	1
69	132	1
69	133	1
70	128	1
70	129	1
70	130	1
70	131	1
70	132	1
71	130	1
