pix_x	pix_y	Flag
75	33	1
76	31	1
76	32	1
76	33	1
76	34	1
76	35	1
77	31	1
77	32	1
77	33	1
77	34	1
77	35	1
78	30	1
78	31	1
78	32	1
78	33	1
78	34	1
78	35	1
78	36	1
79	31	1
79	32	1
79	33	1
79	34	1
79	35	1
80	31	1
80	32	1
80	33	1
80	34	1
80	35	1
81	33	1
18	105	1
19	103	1
19	104	1
19	105	1
19	106	1
19	107	1
20	103	1
20	104	1
20	105	1
20	106	1
20	107	1
21	102	1
21	103	1
21	104	1
21	105	1
21	106	1
21	107	1
21	108	1
22	103	1
22	104	1
22	105	1
22	106	1
22	107	1
23	103	1
23	104	1
23	105	1
23	106	1
23	107	1
24	105	1
