pix_x	pix_y	Flag
102	75	1
103	72	1
103	73	1
103	74	1
103	75	1
103	76	1
103	77	1
103	78	1
104	71	1
104	72	1
104	73	1
104	74	1
104	75	1
104	76	1
104	77	1
104	78	1
104	79	1
105	70	1
105	71	1
105	72	1
105	73	1
105	74	1
105	75	1
105	76	1
105	77	1
105	78	1
105	79	1
105	80	1
106	70	1
106	71	1
106	72	1
106	73	1
106	74	1
106	75	1
106	76	1
106	77	1
106	78	1
106	79	1
106	80	1
107	70	1
107	71	1
107	72	1
107	73	1
107	74	1
107	75	1
107	76	1
107	77	1
107	78	1
107	79	1
107	80	1
108	69	1
108	70	1
108	71	1
108	72	1
108	73	1
108	74	1
108	75	1
108	76	1
108	77	1
108	78	1
108	79	1
108	80	1
108	81	1
109	70	1
109	71	1
109	72	1
109	73	1
109	74	1
109	75	1
109	76	1
109	77	1
109	78	1
109	79	1
109	80	1
110	70	1
110	71	1
110	72	1
110	73	1
110	74	1
110	75	1
110	76	1
110	77	1
110	78	1
110	79	1
110	80	1
111	70	1
111	71	1
111	72	1
111	73	1
111	74	1
111	75	1
111	76	1
111	77	1
111	78	1
111	79	1
111	80	1
112	71	1
112	72	1
112	73	1
112	74	1
112	75	1
112	76	1
112	77	1
112	78	1
112	79	1
113	72	1
113	73	1
113	74	1
113	75	1
113	76	1
113	77	1
113	78	1
114	75	1
98	99	1
99	96	1
99	97	1
99	98	1
99	99	1
99	100	1
99	101	1
99	102	1
100	95	1
100	96	1
100	97	1
100	98	1
100	99	1
100	100	1
100	101	1
100	102	1
100	103	1
101	94	1
101	95	1
101	96	1
101	97	1
101	98	1
101	99	1
101	100	1
101	101	1
101	102	1
101	103	1
101	104	1
102	94	1
102	95	1
102	96	1
102	97	1
102	98	1
102	99	1
102	100	1
102	101	1
102	102	1
102	103	1
102	104	1
103	94	1
103	95	1
103	96	1
103	97	1
103	98	1
103	99	1
103	100	1
103	101	1
103	102	1
103	103	1
103	104	1
104	93	1
104	94	1
104	95	1
104	96	1
104	97	1
104	98	1
104	99	1
104	100	1
104	101	1
104	102	1
104	103	1
104	104	1
104	105	1
105	94	1
105	95	1
105	96	1
105	97	1
105	98	1
105	99	1
105	100	1
105	101	1
105	102	1
105	103	1
105	104	1
106	94	1
106	95	1
106	96	1
106	97	1
106	98	1
106	99	1
106	100	1
106	101	1
106	102	1
106	103	1
106	104	1
107	94	1
107	95	1
107	96	1
107	97	1
107	98	1
107	99	1
107	100	1
107	101	1
107	102	1
107	103	1
107	104	1
108	95	1
108	96	1
108	97	1
108	98	1
108	99	1
108	100	1
108	101	1
108	102	1
108	103	1
109	96	1
109	97	1
109	98	1
109	99	1
109	100	1
109	101	1
109	102	1
110	99	1
