pix_x	pix_y	Flag
40	115	1
41	110	1
41	111	1
41	112	1
41	113	1
41	114	1
41	115	1
41	116	1
41	117	1
41	118	1
41	119	1
41	120	1
42	108	1
42	109	1
42	110	1
42	111	1
42	112	1
42	113	1
42	114	1
42	115	1
42	116	1
42	117	1
42	118	1
42	119	1
42	120	1
42	121	1
42	122	1
43	107	1
43	108	1
43	109	1
43	110	1
43	111	1
43	112	1
43	113	1
43	114	1
43	115	1
43	116	1
43	117	1
43	118	1
43	119	1
43	120	1
43	121	1
43	122	1
43	123	1
44	106	1
44	107	1
44	108	1
44	109	1
44	110	1
44	111	1
44	112	1
44	113	1
44	114	1
44	115	1
44	116	1
44	117	1
44	118	1
44	119	1
44	120	1
44	121	1
44	122	1
44	123	1
44	124	1
45	105	1
45	106	1
45	107	1
45	108	1
45	109	1
45	110	1
45	111	1
45	112	1
45	113	1
45	114	1
45	115	1
45	116	1
45	117	1
45	118	1
45	119	1
45	120	1
45	121	1
45	122	1
45	123	1
45	124	1
45	125	1
46	104	1
46	105	1
46	106	1
46	107	1
46	108	1
46	109	1
46	110	1
46	111	1
46	112	1
46	113	1
46	114	1
46	115	1
46	116	1
46	117	1
46	118	1
46	119	1
46	120	1
46	121	1
46	122	1
46	123	1
46	124	1
46	125	1
46	126	1
47	103	1
47	104	1
47	105	1
47	106	1
47	107	1
47	108	1
47	109	1
47	110	1
47	111	1
47	112	1
47	113	1
47	114	1
47	115	1
47	116	1
47	117	1
47	118	1
47	119	1
47	120	1
47	121	1
47	122	1
47	123	1
47	124	1
47	125	1
47	126	1
47	127	1
48	103	1
48	104	1
48	105	1
48	106	1
48	107	1
48	108	1
48	109	1
48	110	1
48	111	1
48	112	1
48	113	1
48	114	1
48	115	1
48	116	1
48	117	1
48	118	1
48	119	1
48	120	1
48	121	1
48	122	1
48	123	1
48	124	1
48	125	1
48	126	1
48	127	1
49	102	1
49	103	1
49	104	1
49	105	1
49	106	1
49	107	1
49	108	1
49	109	1
49	110	1
49	111	1
49	112	1
49	113	1
49	114	1
49	115	1
49	116	1
49	117	1
49	118	1
49	119	1
49	120	1
49	121	1
49	122	1
49	123	1
49	124	1
49	125	1
49	126	1
49	127	1
49	128	1
