pix_x	pix_y	Flag
98	59	1
99	58	1
99	59	1
99	60	1
100	57	1
100	58	1
100	59	1
100	60	1
100	61	1
101	58	1
101	59	1
101	60	1
102	59	1
90	30	-1
91	26	-1
91	27	-1
91	28	-1
91	29	-1
91	30	-1
91	31	-1
91	32	-1
91	33	-1
91	34	-1
92	24	-1
92	25	-1
92	26	-1
92	27	-1
92	28	-1
92	29	-1
92	30	-1
92	31	-1
92	32	-1
92	33	-1
92	34	-1
92	35	-1
92	36	-1
93	23	-1
93	24	-1
93	25	-1
93	26	-1
93	27	-1
93	28	-1
93	29	-1
93	30	-1
93	31	-1
93	32	-1
93	33	-1
93	34	-1
93	35	-1
93	36	-1
93	37	-1
94	22	-1
94	23	-1
94	24	-1
94	25	-1
94	26	-1
94	27	-1
94	28	-1
94	29	-1
94	30	-1
94	31	-1
94	32	-1
94	33	-1
94	34	-1
94	35	-1
94	36	-1
94	37	-1
94	38	-1
95	22	-1
95	23	-1
95	24	-1
95	25	-1
95	26	-1
95	27	-1
95	28	-1
95	29	-1
95	30	-1
95	31	-1
95	32	-1
95	33	-1
95	34	-1
95	35	-1
95	36	-1
95	37	-1
95	38	-1
96	21	-1
96	22	-1
96	23	-1
96	24	-1
96	25	-1
96	26	-1
96	27	-1
96	28	-1
96	29	-1
96	30	-1
96	31	-1
96	32	-1
96	33	-1
96	34	-1
96	35	-1
96	36	-1
96	37	-1
96	38	-1
96	39	-1
97	21	-1
97	22	-1
97	23	-1
97	24	-1
97	25	-1
97	26	-1
97	27	-1
97	28	-1
97	29	-1
97	30	-1
97	31	-1
97	32	-1
97	33	-1
97	34	-1
97	35	-1
97	36	-1
97	37	-1
97	38	-1
97	39	-1
98	21	-1
98	22	-1
98	23	-1
98	24	-1
98	25	-1
98	26	-1
98	27	-1
98	28	-1
98	29	-1
98	30	-1
98	31	-1
98	32	-1
98	33	-1
98	34	-1
98	35	-1
98	36	-1
98	37	-1
98	38	-1
98	39	-1
99	21	-1
99	22	-1
99	23	-1
99	24	-1
99	25	-1
99	26	-1
99	27	-1
99	28	-1
99	29	-1
99	30	-1
99	31	-1
99	32	-1
99	33	-1
99	34	-1
99	35	-1
