pix_x	pix_y	Flag
86	91	1
87	88	1
87	89	1
87	90	1
87	91	1
87	92	1
87	93	1
87	94	1
88	87	1
88	88	1
88	89	1
88	90	1
88	91	1
88	92	1
88	93	1
88	94	1
88	95	1
89	87	1
89	88	1
89	89	1
89	90	1
89	91	1
89	92	1
89	93	1
89	94	1
89	95	1
90	87	1
90	88	1
90	89	1
90	90	1
90	91	1
90	92	1
90	93	1
90	94	1
90	95	1
91	86	1
91	87	1
91	88	1
91	89	1
91	90	1
91	91	1
91	92	1
91	93	1
91	94	1
91	95	1
91	96	1
92	87	1
92	88	1
92	89	1
92	90	1
92	91	1
92	92	1
92	93	1
92	94	1
92	95	1
93	87	1
93	88	1
93	89	1
93	90	1
93	91	1
93	92	1
93	93	1
93	94	1
93	95	1
94	87	1
94	88	1
94	89	1
94	90	1
94	91	1
94	92	1
94	93	1
94	94	1
94	95	1
95	88	1
95	89	1
95	90	1
95	91	1
95	92	1
95	93	1
95	94	1
96	91	1
