pix_x	pix_y	Flag
47	137	1
48	134	1
48	135	1
48	136	1
48	137	1
48	138	1
48	139	1
48	140	1
49	133	1
49	134	1
49	135	1
49	136	1
49	137	1
49	138	1
49	139	1
49	140	1
49	141	1
50	132	1
50	133	1
50	134	1
50	135	1
50	136	1
50	137	1
50	138	1
50	139	1
50	140	1
50	141	1
50	142	1
51	132	1
51	133	1
51	134	1
51	135	1
51	136	1
51	137	1
51	138	1
51	139	1
51	140	1
51	141	1
51	142	1
52	132	1
52	133	1
52	134	1
52	135	1
52	136	1
52	137	1
52	138	1
52	139	1
52	140	1
52	141	1
52	142	1
53	131	1
53	132	1
53	133	1
53	134	1
53	135	1
53	136	1
53	137	1
53	138	1
53	139	1
53	140	1
53	141	1
53	142	1
53	143	1
54	132	1
54	133	1
54	134	1
54	135	1
54	136	1
54	137	1
54	138	1
54	139	1
54	140	1
54	141	1
54	142	1
55	132	1
55	133	1
55	134	1
55	135	1
55	136	1
55	137	1
55	138	1
55	139	1
55	140	1
55	141	1
55	142	1
56	132	1
56	133	1
56	134	1
56	135	1
56	136	1
56	137	1
56	138	1
56	139	1
56	140	1
56	141	1
56	142	1
57	133	1
57	134	1
57	135	1
57	136	1
57	137	1
57	138	1
57	139	1
57	140	1
57	141	1
58	134	1
58	135	1
58	136	1
58	137	1
58	138	1
58	139	1
58	140	1
59	137	1
