pix_x	pix_y	Flag
101	73	1
102	70	1
102	71	1
102	72	1
102	73	1
102	74	1
102	75	1
102	76	1
103	69	1
103	70	1
103	71	1
103	72	1
103	73	1
103	74	1
103	75	1
103	76	1
103	77	1
104	68	1
104	69	1
104	70	1
104	71	1
104	72	1
104	73	1
104	74	1
104	75	1
104	76	1
104	77	1
104	78	1
105	67	1
105	68	1
105	69	1
105	70	1
105	71	1
105	72	1
105	73	1
105	74	1
105	75	1
105	76	1
105	77	1
105	78	1
105	79	1
106	67	1
106	68	1
106	69	1
106	70	1
106	71	1
106	72	1
106	73	1
106	74	1
106	75	1
106	76	1
106	77	1
106	78	1
106	79	1
107	67	1
107	68	1
107	69	1
107	70	1
107	71	1
107	72	1
107	73	1
107	74	1
107	75	1
107	76	1
107	77	1
107	78	1
107	79	1
108	66	1
108	67	1
108	68	1
108	69	1
108	70	1
108	71	1
108	72	1
108	73	1
108	74	1
108	75	1
108	76	1
108	77	1
108	78	1
108	79	1
108	80	1
109	67	1
109	68	1
109	69	1
109	70	1
109	71	1
109	72	1
109	73	1
109	74	1
109	75	1
109	76	1
109	77	1
109	78	1
109	79	1
110	67	1
110	68	1
110	69	1
110	70	1
110	71	1
110	72	1
110	73	1
110	74	1
110	75	1
110	76	1
110	77	1
110	78	1
110	79	1
111	67	1
111	68	1
111	69	1
111	70	1
111	71	1
111	72	1
111	73	1
111	74	1
111	75	1
111	76	1
111	77	1
111	78	1
111	79	1
112	68	1
112	69	1
112	70	1
112	71	1
112	72	1
112	73	1
112	74	1
112	75	1
112	76	1
112	77	1
112	78	1
113	69	1
113	70	1
113	71	1
113	72	1
113	73	1
113	74	1
113	75	1
113	76	1
113	77	1
114	70	1
114	71	1
114	72	1
114	73	1
114	74	1
114	75	1
114	76	1
115	73	1
4	105	1
5	101	1
5	102	1
5	103	1
5	104	1
5	105	1
5	106	1
5	107	1
5	108	1
5	109	1
6	99	1
6	100	1
6	101	1
6	102	1
6	103	1
6	104	1
6	105	1
6	106	1
6	107	1
6	108	1
6	109	1
6	110	1
6	111	1
7	98	1
7	99	1
7	100	1
7	101	1
7	102	1
7	103	1
7	104	1
7	105	1
7	106	1
7	107	1
7	108	1
7	109	1
7	110	1
7	111	1
7	112	1
8	97	1
8	98	1
8	99	1
8	100	1
8	101	1
8	102	1
8	103	1
8	104	1
8	105	1
8	106	1
8	107	1
8	108	1
8	109	1
8	110	1
8	111	1
8	112	1
8	113	1
9	97	1
9	98	1
9	99	1
9	100	1
9	101	1
9	102	1
9	103	1
9	104	1
9	105	1
9	106	1
9	107	1
9	108	1
9	109	1
9	110	1
9	111	1
9	112	1
9	113	1
10	96	1
10	97	1
10	98	1
10	99	1
10	100	1
10	101	1
10	102	1
10	103	1
10	104	1
10	105	1
10	106	1
10	107	1
10	108	1
10	109	1
10	110	1
10	111	1
10	112	1
10	113	1
10	114	1
11	96	1
11	97	1
11	98	1
11	99	1
11	100	1
11	101	1
11	102	1
11	103	1
11	104	1
11	105	1
11	106	1
11	107	1
11	108	1
11	109	1
11	110	1
11	111	1
11	112	1
11	113	1
11	114	1
12	96	1
12	97	1
12	98	1
12	99	1
12	100	1
12	101	1
12	102	1
12	103	1
12	104	1
12	105	1
12	106	1
12	107	1
12	108	1
12	109	1
12	110	1
12	111	1
12	112	1
12	113	1
12	114	1
13	96	1
13	97	1
13	98	1
13	99	1
13	100	1
13	101	1
13	102	1
13	103	1
13	104	1
13	105	1
13	106	1
13	107	1
13	108	1
13	109	1
13	110	1
13	111	1
13	112	1
13	113	1
13	114	1
14	95	1
14	96	1
14	97	1
14	98	1
14	99	1
14	100	1
14	101	1
14	102	1
14	103	1
14	104	1
14	105	1
14	106	1
14	107	1
14	108	1
14	109	1
14	110	1
14	111	1
14	112	1
14	113	1
14	114	1
14	115	1
15	96	1
15	97	1
15	98	1
15	99	1
15	100	1
15	101	1
15	102	1
15	103	1
15	104	1
15	105	1
15	106	1
15	107	1
15	108	1
15	109	1
15	110	1
15	111	1
15	112	1
15	113	1
15	114	1
16	96	1
16	97	1
16	98	1
16	99	1
16	100	1
16	101	1
16	102	1
16	103	1
16	104	1
16	105	1
16	106	1
16	107	1
16	108	1
16	109	1
16	110	1
16	111	1
16	112	1
16	113	1
16	114	1
17	96	1
17	97	1
17	98	1
17	99	1
17	100	1
17	101	1
17	102	1
17	103	1
17	104	1
17	105	1
17	106	1
17	107	1
17	108	1
17	109	1
17	110	1
17	111	1
17	112	1
17	113	1
17	114	1
18	96	1
18	97	1
18	98	1
18	99	1
18	100	1
18	101	1
18	102	1
18	103	1
18	104	1
18	105	1
18	106	1
18	107	1
18	108	1
18	109	1
18	110	1
18	111	1
18	112	1
18	113	1
18	114	1
19	97	1
19	98	1
19	99	1
19	100	1
19	101	1
19	102	1
19	103	1
19	104	1
19	105	1
19	106	1
19	107	1
19	108	1
19	109	1
19	110	1
19	111	1
19	112	1
19	113	1
20	97	1
20	98	1
20	99	1
20	100	1
20	101	1
20	102	1
20	103	1
20	104	1
20	105	1
20	106	1
20	107	1
20	108	1
20	109	1
20	110	1
20	111	1
20	112	1
20	113	1
21	98	1
21	99	1
21	100	1
21	101	1
21	102	1
21	103	1
21	104	1
21	105	1
21	106	1
21	107	1
21	108	1
21	109	1
21	110	1
21	111	1
21	112	1
22	99	1
22	100	1
22	101	1
22	102	1
22	103	1
22	104	1
22	105	1
22	106	1
22	107	1
22	108	1
22	109	1
22	110	1
22	111	1
23	101	1
23	102	1
23	103	1
23	104	1
23	105	1
23	106	1
23	107	1
23	108	1
23	109	1
24	105	1
