pix_x	pix_y	Flag
78	38	1
78	39	1
78	40	1
78	41	1
78	42	1
79	37	1
79	38	1
79	39	1
79	40	1
79	41	1
79	42	1
79	43	1
80	36	1
80	37	1
80	38	1
80	39	1
80	40	1
80	41	1
80	42	1
80	43	1
80	44	1
81	36	1
81	37	1
81	38	1
81	39	1
81	40	1
81	41	1
81	42	1
81	43	1
81	44	1
82	36	1
82	37	1
82	38	1
82	39	1
82	40	1
82	41	1
82	42	1
82	43	1
82	44	1
83	36	1
83	37	1
83	38	1
83	39	1
83	40	1
83	41	1
83	42	1
83	43	1
83	44	1
84	36	1
84	37	1
84	38	1
84	39	1
84	40	1
84	41	1
84	42	1
84	43	1
84	44	1
85	37	1
85	38	1
85	39	1
85	40	1
85	41	1
85	42	1
85	43	1
86	38	1
86	39	1
86	40	1
86	41	1
86	42	1
46	140	1
47	136	1
47	137	1
47	138	1
47	139	1
47	140	1
47	141	1
47	142	1
47	143	1
47	144	1
48	134	1
48	135	1
48	136	1
48	137	1
48	138	1
48	139	1
48	140	1
48	141	1
48	142	1
48	143	1
48	144	1
48	145	1
48	146	1
49	133	1
49	134	1
49	135	1
49	136	1
49	137	1
49	138	1
49	139	1
49	140	1
49	141	1
49	142	1
49	143	1
49	144	1
49	145	1
49	146	1
49	147	1
50	132	1
50	133	1
50	134	1
50	135	1
50	136	1
50	137	1
50	138	1
50	139	1
50	140	1
50	141	1
50	142	1
50	143	1
50	144	1
50	145	1
50	146	1
50	147	1
50	148	1
51	132	1
51	133	1
51	134	1
51	135	1
51	136	1
51	137	1
51	138	1
51	139	1
51	140	1
51	141	1
51	142	1
51	143	1
51	144	1
51	145	1
51	146	1
51	147	1
51	148	1
52	131	1
52	132	1
52	133	1
52	134	1
52	135	1
52	136	1
52	137	1
52	138	1
52	139	1
52	140	1
52	141	1
52	142	1
52	143	1
52	144	1
52	145	1
52	146	1
52	147	1
52	148	1
52	149	1
53	131	1
53	132	1
53	133	1
53	134	1
53	135	1
53	136	1
53	137	1
53	138	1
53	139	1
53	140	1
53	141	1
53	142	1
53	143	1
53	144	1
53	145	1
53	146	1
53	147	1
53	148	1
53	149	1
54	131	1
54	132	1
54	133	1
54	134	1
54	135	1
54	136	1
54	137	1
54	138	1
54	139	1
54	140	1
54	141	1
54	142	1
54	143	1
54	144	1
54	145	1
54	146	1
54	147	1
54	148	1
54	149	1
55	131	1
55	132	1
55	133	1
55	134	1
55	135	1
55	136	1
55	137	1
55	138	1
55	139	1
55	140	1
55	141	1
55	142	1
55	143	1
55	144	1
55	145	1
55	146	1
55	147	1
55	148	1
55	149	1
56	130	1
56	131	1
56	132	1
56	133	1
56	134	1
56	135	1
56	136	1
56	137	1
56	138	1
56	139	1
56	140	1
56	141	1
56	142	1
56	143	1
56	144	1
56	145	1
56	146	1
56	147	1
56	148	1
56	149	1
56	150	1
57	131	1
57	132	1
57	133	1
57	134	1
57	135	1
57	136	1
57	137	1
57	138	1
57	139	1
57	140	1
57	141	1
57	142	1
57	143	1
57	144	1
57	145	1
57	146	1
57	147	1
57	148	1
57	149	1
58	131	1
58	132	1
58	133	1
58	134	1
58	135	1
58	136	1
58	137	1
58	138	1
58	139	1
58	140	1
58	141	1
58	142	1
58	143	1
58	144	1
58	145	1
58	146	1
58	147	1
58	148	1
58	149	1
59	131	1
59	132	1
59	133	1
59	134	1
59	135	1
59	136	1
59	137	1
59	138	1
59	139	1
59	140	1
59	141	1
59	142	1
59	143	1
59	144	1
59	145	1
59	146	1
59	147	1
59	148	1
59	149	1
60	131	1
60	132	1
60	133	1
60	134	1
60	135	1
60	136	1
60	137	1
60	138	1
60	139	1
60	140	1
60	141	1
60	142	1
60	143	1
60	144	1
60	145	1
60	146	1
60	147	1
60	148	1
60	149	1
61	132	1
61	133	1
61	134	1
61	135	1
61	136	1
61	137	1
61	138	1
61	139	1
61	140	1
61	141	1
61	142	1
61	143	1
61	144	1
61	145	1
61	146	1
61	147	1
61	148	1
62	132	1
62	133	1
62	134	1
62	135	1
62	136	1
62	137	1
62	138	1
62	139	1
62	140	1
62	141	1
62	142	1
62	143	1
62	144	1
62	145	1
62	146	1
62	147	1
62	148	1
63	133	1
63	134	1
63	135	1
63	136	1
63	137	1
63	138	1
63	139	1
63	140	1
63	141	1
63	142	1
63	143	1
63	144	1
63	145	1
63	146	1
63	147	1
64	134	1
64	135	1
64	136	1
64	137	1
64	138	1
64	139	1
64	140	1
64	141	1
64	142	1
64	143	1
64	144	1
64	145	1
64	146	1
65	136	1
65	137	1
65	138	1
65	139	1
65	140	1
65	141	1
65	142	1
65	143	1
65	144	1
66	140	1
23	131	1
24	128	1
24	129	1
24	130	1
24	131	1
24	132	1
24	133	1
24	134	1
25	127	1
25	128	1
25	129	1
25	130	1
25	131	1
25	132	1
25	133	1
25	134	1
25	135	1
26	126	1
26	127	1
26	128	1
26	129	1
26	130	1
26	131	1
26	132	1
26	133	1
26	134	1
26	135	1
26	136	1
27	125	1
27	126	1
27	127	1
27	128	1
27	129	1
27	130	1
27	131	1
27	132	1
27	133	1
27	134	1
27	135	1
27	136	1
27	137	1
28	125	1
28	126	1
28	127	1
28	128	1
28	129	1
28	130	1
28	131	1
28	132	1
28	133	1
28	134	1
28	135	1
28	136	1
28	137	1
29	125	1
29	126	1
29	127	1
29	128	1
29	129	1
29	130	1
29	131	1
29	132	1
29	133	1
29	134	1
29	135	1
29	136	1
29	137	1
30	124	1
30	125	1
30	126	1
30	127	1
30	128	1
