pix_x	pix_y	Flag
105	94	1
105	95	1
105	96	1
106	93	1
106	94	1
106	95	1
106	96	1
106	97	1
107	93	1
107	94	1
107	95	1
107	96	1
107	97	1
108	93	1
108	94	1
108	95	1
108	96	1
108	97	1
109	94	1
109	95	1
109	96	1
122	96	1
123	93	1
123	94	1
123	95	1
123	96	1
123	97	1
123	98	1
123	99	1
124	92	1
124	93	1
124	94	1
124	95	1
124	96	1
124	97	1
124	98	1
124	99	1
124	100	1
125	92	1
125	93	1
125	94	1
125	95	1
125	96	1
125	97	1
125	98	1
125	99	1
125	100	1
126	92	1
126	93	1
126	94	1
126	95	1
126	96	1
126	97	1
126	98	1
126	99	1
126	100	1
127	91	1
127	92	1
127	93	1
127	94	1
127	95	1
127	96	1
127	97	1
127	98	1
127	99	1
127	100	1
127	101	1
128	92	1
128	93	1
128	94	1
128	95	1
128	96	1
128	97	1
128	98	1
128	99	1
128	100	1
129	92	1
129	93	1
129	94	1
129	95	1
129	96	1
129	97	1
129	98	1
129	99	1
129	100	1
130	92	1
130	93	1
130	94	1
130	95	1
130	96	1
130	97	1
130	98	1
130	99	1
130	100	1
131	93	1
131	94	1
131	95	1
131	96	1
131	97	1
131	98	1
131	99	1
132	96	1
