pix_x	pix_y	Flag
32	73	1
33	66	1
33	67	1
33	68	1
33	69	1
33	70	1
33	71	1
33	72	1
33	73	1
33	74	1
33	75	1
33	76	1
33	77	1
33	78	1
33	79	1
33	80	1
34	63	1
34	64	1
34	65	1
34	66	1
34	67	1
34	68	1
34	69	1
34	70	1
34	71	1
34	72	1
34	73	1
34	74	1
34	75	1
34	76	1
34	77	1
34	78	1
34	79	1
34	80	1
34	81	1
34	82	1
34	83	1
35	60	1
35	61	1
35	62	1
35	63	1
35	64	1
35	65	1
35	66	1
35	67	1
35	68	1
35	69	1
35	70	1
35	71	1
35	72	1
35	73	1
35	74	1
35	75	1
35	76	1
35	77	1
35	78	1
35	79	1
35	80	1
35	81	1
35	82	1
35	83	1
35	84	1
35	85	1
35	86	1
36	59	1
36	60	1
36	61	1
36	62	1
36	63	1
36	64	1
36	65	1
36	66	1
36	67	1
36	68	1
36	69	1
36	70	1
36	71	1
36	72	1
36	73	1
36	74	1
36	75	1
36	76	1
36	77	1
36	78	1
36	79	1
36	80	1
36	81	1
36	82	1
36	83	1
36	84	1
36	85	1
36	86	1
36	87	1
37	57	1
37	58	1
37	59	1
37	60	1
37	61	1
37	62	1
37	63	1
37	64	1
37	65	1
37	66	1
37	67	1
37	68	1
37	69	1
37	70	1
37	71	1
37	72	1
37	73	1
37	74	1
37	75	1
37	76	1
37	77	1
37	78	1
37	79	1
37	80	1
37	81	1
37	82	1
37	83	1
37	84	1
37	85	1
37	86	1
37	87	1
37	88	1
37	89	1
38	55	1
38	56	1
38	57	1
38	58	1
38	59	1
38	60	1
38	61	1
38	62	1
38	63	1
38	64	1
38	65	1
38	66	1
38	67	1
38	68	1
38	69	1
38	70	1
38	71	1
38	72	1
38	73	1
38	74	1
38	75	1
38	76	1
38	77	1
38	78	1
38	79	1
38	80	1
38	81	1
38	82	1
38	83	1
38	84	1
38	85	1
38	86	1
38	87	1
38	88	1
38	89	1
38	90	1
38	91	1
39	54	1
39	55	1
39	56	1
39	57	1
39	58	1
39	59	1
39	60	1
39	61	1
39	62	1
39	63	1
39	64	1
39	65	1
39	66	1
39	67	1
39	68	1
39	69	1
39	70	1
39	71	1
39	72	1
39	73	1
39	74	1
39	75	1
39	76	1
39	77	1
39	78	1
39	79	1
39	80	1
39	81	1
39	82	1
39	83	1
39	84	1
39	85	1
39	86	1
39	87	1
39	88	1
39	89	1
39	90	1
39	91	1
39	92	1
40	53	1
40	54	1
40	55	1
40	56	1
40	57	1
40	58	1
40	59	1
40	60	1
40	61	1
40	62	1
40	63	1
40	64	1
40	65	1
40	66	1
40	67	1
40	68	1
40	69	1
40	70	1
40	71	1
40	72	1
40	73	1
40	74	1
40	75	1
40	76	1
40	77	1
40	78	1
40	79	1
40	80	1
40	81	1
40	82	1
40	83	1
40	84	1
40	85	1
40	86	1
40	87	1
40	88	1
40	89	1
40	90	1
40	91	1
40	92	1
40	93	1
41	52	1
41	53	1
41	54	1
41	55	1
41	56	1
41	57	1
41	58	1
41	59	1
41	60	1
41	61	1
41	62	1
41	63	1
41	64	1
41	65	1
41	66	1
41	67	1
41	68	1
41	69	1
41	70	1
41	71	1
41	72	1
41	73	1
41	74	1
41	75	1
41	76	1
41	77	1
41	78	1
41	79	1
41	80	1
41	81	1
41	82	1
41	83	1
41	84	1
41	85	1
41	86	1
41	87	1
41	88	1
41	89	1
41	90	1
41	91	1
41	92	1
41	93	1
41	94	1
42	51	1
42	52	1
42	53	1
42	54	1
42	55	1
42	56	1
42	57	1
42	58	1
42	59	1
42	60	1
42	61	1
42	62	1
42	63	1
42	64	1
42	65	1
42	66	1
42	67	1
42	68	1
42	69	1
42	70	1
42	71	1
42	72	1
42	73	1
42	74	1
42	75	1
42	76	1
42	77	1
42	78	1
42	79	1
42	80	1
42	81	1
42	82	1
42	83	1
42	84	1
42	85	1
42	86	1
42	87	1
42	88	1
42	89	1
42	90	1
42	91	1
42	92	1
42	93	1
42	94	1
42	95	1
43	50	1
43	51	1
43	52	1
43	53	1
43	54	1
43	55	1
43	56	1
43	57	1
43	58	1
43	59	1
43	60	1
43	61	1
43	62	1
43	63	1
43	64	1
43	65	1
43	66	1
43	67	1
43	68	1
43	69	1
43	70	1
43	71	1
43	72	1
43	73	1
43	74	1
43	75	1
43	76	1
43	77	1
43	78	1
43	79	1
43	80	1
43	81	1
43	82	1
43	83	1
43	84	1
43	85	1
43	86	1
43	87	1
43	88	1
43	89	1
43	90	1
43	91	1
43	92	1
43	93	1
43	94	1
43	95	1
43	96	1
44	49	1
44	50	1
44	51	1
44	52	1
44	53	1
44	54	1
44	55	1
44	56	1
44	57	1
44	58	1
44	59	1
44	60	1
44	61	1
44	62	1
44	63	1
44	64	1
44	65	1
44	66	1
44	67	1
44	68	1
44	69	1
44	70	1
44	71	1
44	72	1
44	73	1
44	74	1
44	75	1
44	76	1
44	77	1
44	78	1
44	79	1
44	80	1
44	81	1
44	82	1
44	83	1
44	84	1
44	85	1
44	86	1
44	87	1
44	88	1
44	89	1
44	90	1
44	91	1
44	92	1
44	93	1
44	94	1
44	95	1
44	96	1
44	97	1
45	49	1
45	50	1
45	51	1
45	52	1
45	53	1
45	54	1
45	55	1
45	56	1
45	57	1
45	58	1
45	59	1
45	60	1
45	61	1
45	62	1
45	63	1
45	64	1
45	65	1
45	66	1
45	67	1
45	68	1
45	69	1
45	70	1
45	71	1
45	72	1
45	73	1
45	74	1
45	75	1
45	76	1
45	77	1
45	78	1
45	79	1
45	80	1
45	81	1
45	82	1
45	83	1
45	84	1
45	85	1
45	86	1
45	87	1
45	88	1
45	89	1
45	90	1
45	91	1
45	92	1
45	93	1
45	94	1
45	95	1
45	96	1
45	97	1
46	48	1
46	49	1
46	50	1
46	51	1
46	52	1
46	53	1
46	54	1
46	55	1
46	56	1
46	57	1
46	58	1
46	59	1
46	60	1
46	61	1
46	62	1
46	63	1
46	64	1
46	65	1
46	66	1
46	67	1
46	68	1
46	69	1
46	70	1
46	71	1
46	72	1
46	73	1
46	74	1
46	75	1
46	76	1
46	77	1
46	78	1
46	79	1
46	80	1
46	81	1
46	82	1
46	83	1
46	84	1
46	85	1
46	86	1
46	87	1
46	88	1
46	89	1
46	90	1
46	91	1
46	92	1
46	93	1
46	94	1
46	95	1
46	96	1
46	97	1
46	98	1
47	48	1
47	49	1
47	50	1
47	51	1
47	52	1
47	53	1
47	54	1
47	55	1
47	56	1
47	57	1
47	58	1
47	59	1
47	60	1
47	61	1
47	62	1
47	63	1
47	64	1
47	65	1
47	66	1
47	67	1
47	68	1
47	69	1
47	70	1
47	71	1
47	72	1
47	73	1
47	74	1
47	75	1
47	76	1
47	77	1
47	78	1
47	79	1
47	80	1
47	81	1
47	82	1
47	83	1
47	84	1
47	85	1
47	86	1
47	87	1
47	88	1
47	89	1
47	90	1
47	91	1
47	92	1
47	93	1
47	94	1
47	95	1
47	96	1
47	97	1
47	98	1
48	47	1
48	48	1
48	49	1
48	50	1
48	51	1
48	52	1
48	53	1
48	54	1
48	55	1
48	56	1
48	57	1
48	58	1
48	59	1
48	60	1
48	61	1
48	62	1
48	63	1
48	64	1
48	65	1
48	66	1
48	67	1
48	68	1
48	69	1
48	70	1
48	71	1
48	72	1
48	73	1
48	74	1
48	75	1
48	76	1
48	77	1
48	78	1
48	79	1
48	80	1
48	81	1
48	82	1
48	83	1
48	84	1
48	85	1
48	86	1
48	87	1
48	88	1
48	89	1
48	90	1
48	91	1
48	92	1
48	93	1
48	94	1
48	95	1
48	96	1
48	97	1
48	98	1
48	99	1
49	46	1
49	47	1
49	48	1
49	49	1
49	50	1
49	51	1
49	52	1
49	53	1
49	54	1
49	55	1
49	56	1
49	57	1
49	58	1
49	59	1
49	60	1
49	61	1
49	62	1
49	63	1
49	64	1
49	65	1
49	66	1
49	67	1
49	68	1
49	69	1
49	70	1
49	71	1
49	72	1
49	73	1
49	74	1
49	75	1
49	76	1
49	77	1
49	78	1
49	79	1
49	80	1
49	81	1
49	82	1
49	83	1
49	84	1
49	85	1
49	86	1
49	87	1
49	88	1
49	89	1
49	90	1
49	91	1
49	92	1
49	93	1
49	94	1
49	95	1
49	96	1
49	97	1
49	98	1
49	99	1
49	100	1
50	46	1
50	47	1
50	48	1
50	49	1
50	50	1
50	51	1
50	52	1
50	53	1
50	54	1
50	55	1
50	56	1
50	57	1
50	58	1
50	59	1
50	60	1
50	61	1
50	62	1
50	63	1
50	64	1
50	65	1
50	66	1
50	67	1
50	68	1
50	69	1
50	70	1
50	71	1
50	72	1
50	73	1
50	74	1
50	75	1
50	76	1
50	77	1
50	78	1
50	79	1
50	80	1
50	81	1
50	82	1
50	83	1
50	84	1
50	85	1
50	86	1
50	87	1
50	88	1
50	89	1
50	90	1
50	91	1
50	92	1
50	93	1
50	94	1
50	95	1
50	96	1
50	97	1
50	98	1
50	99	1
50	100	1
51	46	1
51	47	1
51	48	1
51	49	1
51	50	1
51	51	1
51	52	1
51	53	1
51	54	1
51	55	1
51	56	1
51	57	1
51	58	1
51	59	1
51	60	1
51	61	1
51	62	1
51	63	1
51	64	1
51	65	1
51	66	1
51	67	1
51	68	1
51	69	1
51	70	1
51	71	1
51	72	1
51	73	1
51	74	1
51	75	1
51	76	1
51	77	1
51	78	1
51	79	1
51	80	1
51	81	1
51	82	1
51	83	1
51	84	1
51	85	1
51	86	1
51	87	1
51	88	1
51	89	1
51	90	1
51	91	1
51	92	1
51	93	1
51	94	1
51	95	1
51	96	1
51	97	1
51	98	1
51	99	1
51	100	1
52	45	1
52	46	1
52	47	1
52	48	1
52	49	1
52	50	1
52	51	1
52	52	1
52	53	1
52	54	1
52	55	1
52	56	1
52	57	1
52	58	1
52	59	1
52	60	1
52	61	1
52	62	1
52	63	1
52	64	1
52	65	1
52	66	1
52	67	1
52	68	1
52	69	1
52	70	1
52	71	1
52	72	1
52	73	1
52	74	1
52	75	1
52	76	1
52	77	1
52	78	1
52	79	1
52	80	1
52	81	1
52	82	1
52	83	1
52	84	1
52	85	1
52	86	1
52	87	1
52	88	1
52	89	1
52	90	1
52	91	1
52	92	1
52	93	1
52	94	1
52	95	1
52	96	1
52	97	1
52	98	1
52	99	1
52	100	1
52	101	1
53	45	1
53	46	1
53	47	1
53	48	1
53	49	1
53	50	1
53	51	1
53	52	1
53	53	1
53	54	1
53	55	1
53	56	1
53	57	1
53	58	1
53	59	1
53	60	1
53	61	1
53	62	1
53	63	1
53	64	1
53	65	1
53	66	1
53	67	1
53	68	1
53	69	1
53	70	1
53	71	1
53	72	1
53	73	1
53	74	1
53	75	1
53	76	1
53	77	1
53	78	1
53	79	1
53	80	1
53	81	1
53	82	1
53	83	1
53	84	1
53	85	1
53	86	1
53	87	1
53	88	1
53	89	1
53	90	1
53	91	1
53	92	1
53	93	1
53	94	1
53	95	1
53	96	1
53	97	1
