pix_x	pix_y	Flag
109	84	1
110	82	1
110	83	1
110	84	1
110	85	1
110	86	1
111	81	1
111	82	1
111	83	1
111	84	1
111	85	1
111	86	1
111	87	1
112	81	1
112	82	1
112	83	1
112	84	1
112	85	1
112	86	1
112	87	1
113	80	1
113	81	1
113	82	1
113	83	1
113	84	1
113	85	1
113	86	1
113	87	1
113	88	1
114	81	1
114	82	1
114	83	1
114	84	1
114	85	1
114	86	1
114	87	1
115	81	1
115	82	1
115	83	1
115	84	1
115	85	1
115	86	1
115	87	1
116	82	1
116	83	1
116	84	1
116	85	1
116	86	1
117	84	1
9	94	1
10	91	1
10	92	1
10	93	1
10	94	1
10	95	1
10	96	1
10	97	1
11	90	1
11	91	1
11	92	1
11	93	1
11	94	1
11	95	1
11	96	1
11	97	1
11	98	1
12	89	1
12	90	1
12	91	1
12	92	1
12	93	1
12	94	1
12	95	1
12	96	1
12	97	1
12	98	1
12	99	1
13	89	1
13	90	1
13	91	1
13	92	1
13	93	1
13	94	1
13	95	1
13	96	1
13	97	1
13	98	1
13	99	1
14	89	1
14	90	1
14	91	1
14	92	1
14	93	1
14	94	1
14	95	1
14	96	1
14	97	1
14	98	1
14	99	1
15	88	1
15	89	1
15	90	1
15	91	1
15	92	1
15	93	1
15	94	1
15	95	1
15	96	1
15	97	1
15	98	1
15	99	1
15	100	1
16	89	1
16	90	1
16	91	1
16	92	1
16	93	1
16	94	1
16	95	1
16	96	1
16	97	1
16	98	1
16	99	1
17	89	1
17	90	1
17	91	1
17	92	1
17	93	1
17	94	1
17	95	1
17	96	1
17	97	1
17	98	1
17	99	1
18	89	1
18	90	1
18	91	1
18	92	1
18	93	1
18	94	1
18	95	1
18	96	1
18	97	1
18	98	1
18	99	1
19	90	1
19	91	1
19	92	1
19	93	1
19	94	1
19	95	1
19	96	1
19	97	1
19	98	1
20	91	1
20	92	1
20	93	1
20	94	1
20	95	1
20	96	1
20	97	1
21	94	1
36	108	1
37	105	1
37	106	1
37	107	1
37	108	1
37	109	1
37	110	1
37	111	1
38	104	1
38	105	1
38	106	1
38	107	1
38	108	1
38	109	1
38	110	1
38	111	1
38	112	1
39	104	1
39	105	1
39	106	1
39	107	1
39	108	1
39	109	1
39	110	1
39	111	1
39	112	1
40	104	1
40	105	1
40	106	1
40	107	1
40	108	1
40	109	1
40	110	1
40	111	1
40	112	1
41	103	1
41	104	1
41	105	1
41	106	1
41	107	1
41	108	1
41	109	1
41	110	1
41	111	1
41	112	1
41	113	1
42	104	1
42	105	1
42	106	1
42	107	1
42	108	1
42	109	1
42	110	1
42	111	1
42	112	1
43	104	1
43	105	1
43	106	1
43	107	1
43	108	1
43	109	1
43	110	1
43	111	1
43	112	1
44	104	1
44	105	1
44	106	1
44	107	1
44	108	1
44	109	1
44	110	1
44	111	1
44	112	1
45	105	1
45	106	1
45	107	1
45	108	1
45	109	1
45	110	1
45	111	1
46	108	1
