pix_x	pix_y	Flag
85	70	1
86	67	1
86	68	1
86	69	1
86	70	1
86	71	1
86	72	1
86	73	1
87	66	1
87	67	1
87	68	1
87	69	1
87	70	1
87	71	1
87	72	1
87	73	1
87	74	1
88	65	1
88	66	1
88	67	1
88	68	1
88	69	1
88	70	1
88	71	1
88	72	1
88	73	1
88	74	1
88	75	1
89	65	1
89	66	1
89	67	1
89	68	1
89	69	1
89	70	1
89	71	1
89	72	1
89	73	1
89	74	1
89	75	1
90	65	1
90	66	1
90	67	1
90	68	1
90	69	1
90	70	1
90	71	1
90	72	1
90	73	1
90	74	1
90	75	1
91	64	1
91	65	1
91	66	1
91	67	1
91	68	1
91	69	1
91	70	1
91	71	1
91	72	1
91	73	1
91	74	1
91	75	1
91	76	1
92	65	1
92	66	1
92	67	1
92	68	1
92	69	1
92	70	1
92	71	1
92	72	1
92	73	1
92	74	1
92	75	1
93	65	1
93	66	1
93	67	1
93	68	1
93	69	1
93	70	1
93	71	1
93	72	1
93	73	1
93	74	1
93	75	1
94	65	1
94	66	1
94	67	1
94	68	1
94	69	1
94	70	1
94	71	1
94	72	1
94	73	1
94	74	1
94	75	1
95	66	1
95	67	1
95	68	1
95	69	1
95	70	1
95	71	1
95	72	1
95	73	1
95	74	1
96	67	1
96	68	1
96	69	1
96	70	1
96	71	1
96	72	1
96	73	1
97	70	1
79	86	1
80	83	1
80	84	1
80	85	1
80	86	1
80	87	1
80	88	1
80	89	1
81	82	1
81	83	1
81	84	1
81	85	1
81	86	1
81	87	1
81	88	1
81	89	1
81	90	1
82	81	1
82	82	1
82	83	1
82	84	1
82	85	1
82	86	1
82	87	1
82	88	1
82	89	1
82	90	1
82	91	1
83	81	1
83	82	1
83	83	1
83	84	1
83	85	1
83	86	1
83	87	1
83	88	1
83	89	1
83	90	1
83	91	1
84	81	1
84	82	1
84	83	1
84	84	1
84	85	1
84	86	1
84	87	1
84	88	1
84	89	1
84	90	1
84	91	1
85	80	1
85	81	1
85	82	1
85	83	1
85	84	1
85	85	1
85	86	1
85	87	1
85	88	1
85	89	1
85	90	1
85	91	1
85	92	1
86	81	1
86	82	1
86	83	1
86	84	1
86	85	1
86	86	1
86	87	1
86	88	1
86	89	1
86	90	1
86	91	1
87	81	1
87	82	1
87	83	1
87	84	1
87	85	1
87	86	1
87	87	1
87	88	1
87	89	1
87	90	1
87	91	1
88	81	1
88	82	1
88	83	1
88	84	1
88	85	1
88	86	1
88	87	1
88	88	1
88	89	1
88	90	1
88	91	1
89	82	1
89	83	1
89	84	1
89	85	1
89	86	1
89	87	1
89	88	1
89	89	1
89	90	1
90	83	1
90	84	1
90	85	1
90	86	1
90	87	1
90	88	1
90	89	1
91	86	1
