pix_x	pix_y	Flag
19	131	1
20	128	1
20	129	1
20	130	1
20	131	1
20	132	1
20	133	1
20	134	1
21	126	1
21	127	1
21	128	1
21	129	1
21	130	1
21	131	1
21	132	1
21	133	1
21	134	1
21	135	1
21	136	1
22	125	1
22	126	1
22	127	1
22	128	1
22	129	1
22	130	1
22	131	1
22	132	1
22	133	1
22	134	1
22	135	1
22	136	1
22	137	1
23	125	1
23	126	1
23	127	1
23	128	1
23	129	1
23	130	1
23	131	1
23	132	1
23	133	1
23	134	1
23	135	1
23	136	1
23	137	1
24	124	1
24	125	1
24	126	1
24	127	1
24	128	1
24	129	1
24	130	1
24	131	1
24	132	1
24	133	1
24	134	1
24	135	1
24	136	1
24	137	1
24	138	1
25	124	1
25	125	1
25	126	1
25	127	1
25	128	1
25	129	1
25	130	1
25	131	1
25	132	1
25	133	1
25	134	1
25	135	1
25	136	1
25	137	1
25	138	1
26	124	1
26	125	1
26	126	1
26	127	1
26	128	1
26	129	1
26	130	1
26	131	1
26	132	1
26	133	1
26	134	1
26	135	1
26	136	1
26	137	1
26	138	1
27	123	1
27	124	1
27	125	1
27	126	1
27	127	1
27	128	1
27	129	1
27	130	1
27	131	1
27	132	1
27	133	1
27	134	1
27	135	1
27	136	1
27	137	1
27	138	1
27	139	1
28	124	1
28	125	1
28	126	1
28	127	1
28	128	1
28	129	1
28	130	1
28	131	1
28	132	1
28	133	1
28	134	1
28	135	1
28	136	1
28	137	1
28	138	1
29	124	1
29	125	1
29	126	1
29	127	1
29	128	1
29	129	1
29	130	1
29	131	1
29	132	1
29	133	1
29	134	1
29	135	1
29	136	1
29	137	1
29	138	1
30	124	1
30	125	1
30	126	1
30	127	1
30	128	1
30	129	1
30	130	1
30	131	1
30	132	1
30	133	1
30	134	1
30	135	1
30	136	1
30	137	1
30	138	1
31	125	1
31	126	1
31	127	1
31	128	1
31	129	1
31	130	1
31	131	1
31	132	1
31	133	1
31	134	1
31	135	1
31	136	1
31	137	1
32	125	1
32	126	1
32	127	1
32	128	1
32	129	1
32	130	1
32	131	1
32	132	1
32	133	1
32	134	1
32	135	1
32	136	1
32	137	1
33	126	1
33	127	1
33	128	1
33	129	1
33	130	1
33	131	1
33	132	1
33	133	1
33	134	1
33	135	1
33	136	1
34	128	1
34	129	1
34	130	1
34	131	1
34	132	1
34	133	1
34	134	1
35	131	1
99	105	1
99	106	1
99	107	1
99	108	1
99	109	1
100	104	1
100	105	1
100	106	1
100	107	1
100	108	1
100	109	1
100	110	1
101	103	1
101	104	1
101	105	1
101	106	1
101	107	1
101	108	1
101	109	1
101	110	1
101	111	1
102	102	1
102	103	1
102	104	1
102	105	1
102	106	1
102	107	1
102	108	1
102	109	1
102	110	1
102	111	1
102	112	1
103	102	1
103	103	1
103	104	1
103	105	1
103	106	1
103	107	1
103	108	1
103	109	1
103	110	1
103	111	1
103	112	1
104	102	1
104	103	1
104	104	1
104	105	1
104	106	1
104	107	1
104	108	1
104	109	1
104	110	1
104	111	1
104	112	1
105	102	1
105	103	1
105	104	1
105	105	1
105	106	1
105	107	1
105	108	1
105	109	1
105	110	1
105	111	1
105	112	1
106	102	1
106	103	1
106	104	1
106	105	1
106	106	1
106	107	1
106	108	1
106	109	1
106	110	1
106	111	1
106	112	1
107	103	1
107	104	1
107	105	1
107	106	1
107	107	1
107	108	1
107	109	1
107	110	1
107	111	1
108	104	1
108	105	1
108	106	1
108	107	1
108	108	1
108	109	1
108	110	1
109	105	1
109	106	1
109	107	1
109	108	1
109	109	1
19	103	1
20	101	1
20	102	1
20	103	1
20	104	1
20	105	1
21	101	1
21	102	1
21	103	1
21	104	1
21	105	1
22	100	1
22	101	1
22	102	1
22	103	1
22	104	1
22	105	1
22	106	1
23	101	1
23	102	1
23	103	1
23	104	1
23	105	1
24	101	1
24	102	1
24	103	1
24	104	1
24	105	1
25	103	1
