pix_x	pix_y	Flag
124	73	1
125	71	1
125	72	1
125	73	1
125	74	1
125	75	1
126	71	1
126	72	1
126	73	1
126	74	1
126	75	1
127	70	1
127	71	1
127	72	1
127	73	1
127	74	1
127	75	1
127	76	1
128	71	1
128	72	1
128	73	1
128	74	1
128	75	1
129	71	1
129	72	1
129	73	1
129	74	1
129	75	1
130	73	1
77	111	1
78	109	1
78	110	1
78	111	1
78	112	1
78	113	1
79	109	1
79	110	1
79	111	1
79	112	1
79	113	1
80	108	1
80	109	1
80	110	1
80	111	1
80	112	1
80	113	1
80	114	1
81	109	1
81	110	1
81	111	1
81	112	1
81	113	1
82	109	1
82	110	1
82	111	1
82	112	1
82	113	1
83	111	1
36	128	1
36	129	1
36	130	1
37	127	1
37	128	1
37	129	1
37	130	1
37	131	1
38	127	1
38	128	1
38	129	1
38	130	1
38	131	1
39	127	1
39	128	1
39	129	1
39	130	1
39	131	1
40	128	1
40	129	1
40	130	1
