pix_x	pix_y	Flag
56	62	1
56	63	1
56	64	1
57	61	1
57	62	1
57	63	1
57	64	1
57	65	1
58	61	1
58	62	1
58	63	1
58	64	1
58	65	1
59	61	1
59	62	1
59	63	1
59	64	1
59	65	1
60	62	1
60	63	1
60	64	159	82	1
60	78	1
60	79	1
60	80	1
60	81	1
60	82	1
60	83	1
60	84	1
60	85	1
60	86	1
61	76	1
61	77	1
61	78	1
61	79	1
61	80	1
61	81	1
61	82	1
61	83	1
61	84	1
61	85	1
61	86	1
61	87	1
61	88	1
62	75	1
62	76	1
62	77	1
62	78	1
62	79	1
62	80	1
62	81	1
62	82	1
62	83	1
62	84	1
62	85	1
62	86	1
62	87	1
62	88	1
62	89	1
63	74	1
63	75	1
63	76	1
63	77	1
63	78	1
63	79	1
63	80	1
63	81	1
63	82	1
63	83	1
63	84	1
63	85	1
63	86	1
63	87	1
63	88	1
63	89	1
63	90	1
64	73	1
64	74	1
64	75	1
64	76	1
64	77	1
64	78	1
64	79	1
64	80	1
64	81	1
64	82	1
64	83	1
64	84	1
64	85	1
64	86	1
64	87	1
64	88	1
64	89	1
64	90	1
64	91	1
65	73	1
65	74	1
65	75	1
65	76	1
65	77	1
65	78	1
65	79	1
65	80	1
65	81	1
65	82	1
65	83	1
65	84	1
65	85	1
65	86	1
65	87	1
65	88	1
65	89	1
65	90	1
65	91	1
66	72	1
66	73	1
66	74	1
66	75	1
66	76	1
66	77	1
66	78	1
66	79	1
66	80	1
66	81	1
66	82	1
66	83	1
66	84	1
66	85	1
66	86	1
66	87	1
66	88	1
66	89	1
66	90	1
66	91	1
66	92	1
67	72	1
67	73	1
67	74	1
67	75	1
67	76	1
67	77	1
67	78	1
67	79	1
67	80	1
67	81	1
67	82	1
67	83	1
67	84	1
67	85	1
67	86	1
67	87	1
67	88	1
67	89	1
67	90	1
67	91	1
67	92	1
68	72	1
68	73	1
68	74	1
68	75	1
68	76	1
68	77	1
68	78	1
68	79	1
68	80	1
68	81	1
68	82	1
68	83	1
68	84	1
68	85	1
68	86	1
68	87	1
68	88	1
68	89	1
68	90	1
68	91	1
68	92	1
69	72	1
69	73	1
69	74	1
69	75	1
69	76	1
69	77	1
69	78	1
69	79	1
69	80	1
69	81	1
69	82	1
69	83	1
69	84	1
69	85	1
69	86	1
69	87	1
69	88	1
69	89	1
69	90	1
69	91	1
69	92	1
70	71	1
70	72	1
70	73	1
70	74	1
70	75	1
70	76	1
70	77	1
70	78	1
70	79	1
70	80	1
70	81	1
70	82	1
70	83	1
70	84	1
70	85	1
70	86	1
70	87	1
70	88	1
70	89	1
70	90	1
70	91	1
70	92	1
70	93	1
71	72	1
71	73	1
71	74	1
71	75	1
71	76	1
71	77	1
71	78	1
71	79	1
71	80	1
71	81	1
71	82	1
71	83	1
71	84	1
71	85	1
71	86	1
71	87	1
71	88	1
71	89	1
71	90	1
71	91	1
71	92	1
72	72	1
72	73	1
72	74	1
72	75	1
72	76	1
72	77	1
72	78	1
72	79	1
72	80	1
72	81	1
72	82	1
72	83	1
72	84	1
72	85	1
72	86	1
72	87	1
72	88	1
72	89	1
72	90	1
72	91	1
72	92	1
73	72	1
73	73	1
73	74	1
73	75	1
73	76	1
73	77	1
73	78	1
73	79	1
73	80	1
73	81	1
73	82	1
73	83	1
73	84	1
73	85	1
73	86	1
73	87	1
73	88	1
73	89	1
73	90	1
73	91	1
73	92	1
74	72	1
74	73	1
74	74	1
74	75	1
74	76	1
74	77	1
74	78	1
74	79	1
74	80	1
74	81	1
74	82	1
74	83	1
74	84	1
74	85	1
74	86	1
74	87	1
74	88	1
74	89	1
74	90	1
74	91	1
74	92	1
75	73	1
75	74	1
75	75	1
75	76	1
75	77	1
75	78	1
75	79	1
75	80	1
75	81	1
75	82	1
75	83	1
75	84	1
75	85	1
75	86	1
75	87	1
75	88	1
75	89	1
75	90	1
75	91	1
76	73	1
76	74	1
76	75	1
76	76	1
76	77	1
76	78	1
76	79	1
76	80	1
76	81	1
76	82	1
76	83	1
76	84	1
76	85	1
76	86	1
76	87	1
76	88	1
76	89	1
76	90	1
76	91	1
77	74	1
77	75	1
77	76	1
77	77	1
77	78	1
77	79	1
77	80	1
77	81	1
77	82	1
77	83	1
77	84	1
77	85	1
77	86	1
77	87	1
77	88	1
77	89	1
77	90	1
78	75	1
78	76	1
78	77	1
78	78	1
78	79	1
78	80	1
78	81	1
78	82	1
78	83	1
78	84	1
78	85	1
78	86	1
78	87	1
78	88	1
78	89	1
79	76	1
79	77	1
79	78	1
79	79	1
79	80	1
79	81	1
79	82	1
79	83	1
79	84	1
79	85	1
79	86	1
79	87	1
79	88	1
