pix_x	pix_y	Flag
53	148	1
54	145	1
54	146	1
54	147	1
54	148	1
54	149	1
54	150	1
54	151	1
55	144	1
55	145	1
55	146	1
55	147	1
55	148	1
55	149	1
55	150	1
55	151	1
55	152	1
56	143	1
56	144	1
56	145	1
56	146	1
56	147	1
56	148	1
56	149	1
56	150	1
56	151	1
56	152	1
56	153	1
57	142	1
57	143	1
57	144	1
57	145	1
57	146	1
57	147	1
57	148	1
57	149	1
57	150	1
57	151	1
57	152	1
57	153	1
57	154	1
58	142	1
58	143	1
58	144	1
58	145	1
58	146	1
58	147	1
58	148	1
58	149	1
58	150	1
58	151	1
58	152	1
58	153	1
58	154	1
59	142	1
59	143	1
59	144	1
59	145	1
59	146	1
59	147	1
59	148	1
59	149	1
59	150	1
59	151	1
59	152	1
59	153	1
59	154	1
60	141	1
60	142	1
60	143	1
60	144	1
60	145	1
60	146	1
60	147	1
60	148	1
60	149	1
60	150	1
60	151	1
60	152	1
60	153	1
60	154	1
60	155	1
61	142	1
61	143	1
61	144	1
61	145	1
61	146	1
61	147	1
61	148	1
61	149	1
61	150	1
61	151	1
61	152	1
61	153	1
61	154	1
62	142	1
62	143	1
62	144	1
62	145	1
62	146	1
62	147	1
62	148	1
62	149	1
62	150	1
62	151	1
62	152	1
62	153	1
62	154	1
63	142	1
63	143	1
63	144	1
63	145	1
63	146	1
63	147	1
63	148	1
63	149	1
63	150	1
63	151	1
63	152	1
63	153	1
63	154	1
64	143	1
64	144	1
64	145	1
64	146	1
64	147	1
64	148	1
64	149	1
64	150	1
64	151	1
64	152	1
64	153	1
65	144	1
65	145	1
65	146	1
65	147	1
65	148	1
65	149	1
65	150	1
65	151	1
65	152	1
66	145	1
66	146	1
66	147	1
66	148	1
66	149	1
66	150	1
66	151	1
67	148	1
0	104	1
1	101	1
1	102	1
1	103	1
1	104	1
1	105	1
1	106	1
1	107	1
2	100	1
2	101	1
2	102	1
2	103	1
2	104	1
2	105	1
2	106	1
2	107	1
2	108	1
3	99	1
3	100	1
3	101	1
3	102	1
3	103	1
3	104	1
3	105	1
3	106	1
3	107	1
3	108	1
3	109	1
4	98	1
4	99	1
4	100	1
4	101	1
4	102	1
4	103	1
4	104	1
4	105	1
4	106	1
4	107	1
4	108	1
4	109	1
4	110	1
5	98	1
5	99	1
5	100	1
5	101	1
5	102	1
5	103	1
5	104	1
5	105	1
5	106	1
5	107	1
5	108	1
5	109	1
5	110	1
6	98	1
6	99	1
6	100	1
6	101	1
6	102	1
6	103	1
6	104	1
6	105	1
6	106	1
6	107	1
6	108	1
6	109	1
6	110	1
7	97	1
7	98	1
7	99	1
7	100	1
7	101	1
7	102	1
7	103	1
7	104	1
7	105	1
7	106	1
7	107	1
7	108	1
7	109	1
7	110	1
7	111	1
8	98	1
8	99	1
8	100	1
8	101	1
8	102	1
8	103	1
8	104	1
8	105	1
8	106	1
8	107	1
8	108	1
8	109	1
8	110	1
9	98	1
9	99	1
9	100	1
9	101	1
9	102	1
9	103	1
9	104	1
9	105	1
9	106	1
9	107	1
9	108	1
9	109	1
9	110	1
10	98	1
10	99	1
10	100	1
10	101	1
10	102	1
10	103	1
10	104	1
10	105	1
10	106	1
10	107	1
10	108	1
10	109	1
10	110	1
11	99	1
11	100	1
11	101	1
11	102	1
11	103	1
11	104	1
11	105	1
11	106	1
11	107	1
11	108	1
11	109	1
12	100	1
12	101	1
12	102	1
12	103	1
12	104	1
12	105	1
12	106	1
12	107	1
12	108	1
13	101	1
13	102	1
13	103	1
13	104	1
13	105	1
13	106	1
13	107	1
14	104	1
