pix_x	pix_y	Flag
33	109	1
33	110	1
33	111	1
33	112	1
33	113	1
34	108	1
34	109	1
34	110	1
34	111	1
34	112	1
34	113	1
34	114	1
35	107	1
35	108	1
35	109	1
35	110	1
35	111	1
35	112	1
35	113	1
35	114	1
35	115	1
36	106	1
36	107	1
36	108	1
36	109	1
36	110	1
36	111	1
36	112	1
36	113	1
36	114	1
36	115	1
36	116	1
37	106	1
37	107	1
37	108	1
37	109	1
37	110	1
37	111	1
37	112	1
37	113	1
37	114	1
37	115	1
37	116	1
38	106	1
38	107	1
38	108	1
38	109	1
38	110	1
38	111	1
38	112	1
38	113	1
38	114	1
38	115	1
38	116	1
39	106	1
39	107	1
39	108	1
39	109	1
39	110	1
39	111	1
39	112	1
39	113	1
39	114	1
39	115	1
39	116	1
40	106	1
40	107	1
40	108	1
40	109	1
40	110	1
40	111	1
40	112	1
40	113	1
40	114	1
40	115	1
40	116	1
41	107	1
41	108	1
41	109	1
41	110	1
41	111	1
41	112	1
41	113	1
41	114	1
41	115	1
42	108	1
42	109	1
42	110	1
42	111	1
42	112	1
42	113	1
42	114	1
43	109	1
43	110	1
43	111	1
43	112	1
43	113	1
109	68	1
110	65	1
110	66	1
110	67	1
110	68	1
110	69	1
110	70	1
110	71	1
111	64	1
111	65	1
111	66	1
111	67	1
111	68	1
111	69	1
111	70	1
111	71	1
111	72	1
112	64	1
112	65	1
112	66	1
112	67	1
112	68	1
112	69	1
112	70	1
112	71	1
112	72	1
113	64	1
113	65	1
113	66	1
113	67	1
113	68	1
113	69	1
113	70	1
113	71	1
113	72	1
114	63	1
114	64	1
114	65	1
114	66	1
114	67	1
114	68	1
114	69	1
114	70	1
114	71	1
114	72	1
114	73	1
115	64	1
115	65	1
115	66	1
115	67	1
115	68	1
115	69	1
115	70	1
115	71	1
115	72	1
116	64	1
116	65	1
116	66	1
116	67	1
116	68	1
116	69	1
116	70	1
116	71	1
116	72	1
117	64	1
117	65	1
117	66	1
117	67	1
117	68	1
117	69	1
117	70	1
117	71	1
117	72	1
118	65	1
118	66	1
118	67	1
118	68	1
118	69	1
118	70	1
118	71	1
119	68	1
