pix_x	pix_y	Flag
118	57	1
118	58	1
118	59	1
118	60	1
118	61	1
119	56	1
119	57	1
119	58	1
119	59	1
119	60	1
119	61	1
119	62	1
120	55	1
120	56	1
120	57	1
120	58	1
120	59	1
120	60	1
120	61	1
120	62	1
120	63	1
121	54	1
121	55	1
121	56	1
121	57	1
121	58	1
121	59	1
121	60	1
121	61	1
121	62	1
121	63	1
121	64	1
122	54	1
122	55	1
122	56	1
122	57	1
122	58	1
122	59	1
122	60	1
122	61	1
122	62	1
122	63	1
122	64	1
123	54	1
123	55	1
123	56	1
123	57	1
123	58	1
123	59	1
123	60	1
123	61	1
123	62	1
123	63	1
123	64	1
124	54	1
124	55	1
124	56	1
124	57	1
124	58	1
124	59	1
124	60	1
124	61	1
124	62	1
124	63	1
124	64	1
125	54	1
125	55	1
125	56	1
125	57	1
125	58	1
125	59	1
125	60	1
125	61	1
125	62	1
125	63	1
125	64	1
126	55	1
126	56	1
126	57	1
126	58	1
126	59	1
126	60	1
126	61	1
126	62	1
126	63	1
127	56	1
127	57	1
127	58	1
127	59	1
127	60	1
127	61	1
127	62	1
128	57	1
128	58	1
128	59	1
128	60	1
128	61	1
