pix_x	pix_y	Flag
137	93	1
138	91	1
138	92	1
138	93	1
138	94	1
138	95	1
139	91	1
139	92	1
139	93	1
139	94	1
139	95	1
140	90	1
140	91	1
140	92	1
140	93	1
140	94	1
140	95	1
140	96	1
141	91	1
141	92	1
141	93	1
141	94	1
141	95	1
142	91	1
142	92	1
142	93	1
142	94	1
142	95	1
143	93	1
14	47	1
15	45	1
15	46	1
15	47	1
15	48	1
15	49	1
16	45	1
16	46	1
16	47	1
16	48	1
16	49	1
17	44	1
17	45	1
17	46	1
17	47	1
17	48	1
17	49	1
17	50	1
18	45	1
18	46	1
18	47	1
18	48	1
18	49	1
19	45	1
19	46	1
19	47	1
19	48	1
19	49	1
20	47	1
85	52	1
86	50	1
86	51	1
86	52	1
86	53	1
86	54	1
87	50	1
87	51	1
87	52	1
87	53	1
87	54	1
88	49	1
88	50	1
88	51	1
88	52	1
88	53	1
88	54	1
88	55	1
89	50	1
89	51	1
89	52	1
89	53	1
89	54	1
90	50	1
90	51	1
90	52	1
90	53	1
90	54	1
91	52	1
96	87	1
97	85	1
97	86	1
97	87	1
97	88	1
97	89	1
98	85	1
98	86	1
98	87	1
98	88	1
98	89	1
99	84	1
99	85	1
99	86	1
99	87	1
99	88	1
99	89	1
99	90	1
100	85	1
100	86	1
100	87	1
100	88	1
100	89	1
101	85	1
101	86	1
101	87	1
101	88	1
101	89	1
102	87	1
43	125	1
44	121	1
44	122	1
44	123	1
44	124	1
44	125	1
44	126	1
44	127	1
44	128	1
44	129	1
45	119	1
45	120	1
45	121	1
45	122	1
45	123	1
45	124	1
45	125	1
45	126	1
45	127	1
45	128	1
45	129	1
45	130	1
45	131	1
46	118	1
46	119	1
46	120	1
46	121	1
46	122	1
46	123	1
46	124	1
46	125	1
46	126	1
46	127	1
46	128	1
46	129	1
46	130	1
46	131	1
46	132	1
47	117	1
47	118	1
47	119	1
47	120	1
47	121	1
47	122	1
47	123	1
47	124	1
47	125	1
47	126	1
47	127	1
47	128	1
47	129	1
47	130	1
47	131	1
47	132	1
47	133	1
48	116	1
48	117	1
48	118	1
48	119	1
48	120	1
48	121	1
48	122	1
48	123	1
48	124	1
48	125	1
48	126	1
48	127	1
48	128	1
48	129	1
48	130	1
48	131	1
48	132	1
48	133	1
48	134	1
49	115	1
49	116	1
49	117	1
49	118	1
49	119	1
49	120	1
49	121	1
49	122	1
49	123	1
49	124	1
