pix_x	pix_y	Flag
47	97	1
47	98	1
47	99	1
47	100	1
47	101	1
48	96	1
48	97	1
48	98	1
48	99	1
48	100	1
48	101	1
48	102	1
49	95	1
49	96	1
49	97	1
49	98	1
49	99	1
49	100	1
49	101	1
49	102	1
49	103	1
50	94	1
50	95	1
50	96	1
50	97	1
50	98	1
50	99	1
50	100	1
50	101	1
50	102	1
50	103	1
50	104	1
51	94	1
51	95	1
51	96	1
51	97	1
51	98	1
51	99	1
51	100	1
51	101	1
51	102	1
51	103	1
51	104	1
52	94	1
52	95	1
52	96	1
52	97	1
52	98	1
52	99	1
52	100	1
52	101	1
52	102	1
52	103	1
52	104	1
53	94	1
53	95	1
53	96	1
53	97	1
53	98	1
53	99	1
53	100	1
53	101	1
53	102	1
53	103	1
53	104	1
54	94	1
54	95	1
54	96	1
54	97	1
54	98	1
54	99	1
54	100	1
54	101	1
54	102	1
54	103	1
54	104	1
55	95	1
55	96	1
55	97	1
55	98	1
55	99	1
55	100	1
55	101	1
55	102	1
55	103	1
56	96	1
56	97	1
56	98	1
56	99	1
56	100	1
56	101	1
56	102	1
57	97	1
57	98	1
57	99	1
57	100	1
57	101	1
