pix_x	pix_y	Flag
40	54	1
41	52	1
41	53	1
41	54	1
41	55	1
41	56	1
42	52	1
42	53	1
42	54	1
42	55	1
42	56	1
43	51	1
43	52	1
43	53	1
43	54	1
43	55	1
43	56	1
43	57	1
44	52	1
44	53	1
44	54	1
44	55	1
44	56	1
45	52	1
45	53	1
45	54	1
45	55	1
45	56	1
46	54	1
22	54	1
23	52	1
23	53	1
23	54	1
23	55	1
23	56	1
24	52	1
24	53	1
24	54	1
24	55	1
24	56	1
25	51	1
25	52	1
25	53	1
25	54	1
25	55	1
25	56	1
25	57	1
26	52	1
26	53	1
26	54	1
26	55	1
26	56	1
27	52	1
27	53	1
27	54	1
27	55	1
27	56	1
28	54	1
87	119	1
88	117	1
88	118	1
88	119	1
88	120	1
88	121	1
89	116	1
89	117	1
89	118	1
89	119	1
89	120	1
89	121	1
89	122	1
90	116	1
90	117	1
90	118	1
90	119	1
90	120	1
90	121	1
90	122	1
91	115	1
91	116	1
91	117	1
91	118	1
91	119	1
91	120	1
91	121	1
91	122	1
91	123	1
92	116	1
92	117	1
92	118	1
92	119	1
92	120	1
92	121	1
92	122	1
93	116	1
93	117	1
93	118	1
93	119	1
93	120	1
93	121	1
93	122	1
94	117	1
94	118	1
94	119	1
94	120	1
94	121	1
95	119	1
118	91	1
119	88	1
119	89	1
119	90	1
119	91	1
119	92	1
119	93	1
119	94	1
120	87	1
120	88	1
120	89	1
120	90	1
120	91	1
120	92	1
120	93	1
120	94	1
120	95	1
121	86	1
121	87	1
121	88	1
121	89	1
121	90	1
121	91	1
121	92	1
121	93	1
121	94	1
121	95	1
121	96	1
122	85	1
122	86	1
122	87	1
122	88	1
122	89	1
122	90	1
122	91	1
122	92	1
122	93	1
122	94	1
122	95	1
122	96	1
122	97	1
123	85	1
123	86	1
123	87	1
123	88	1
123	89	1
123	90	1
123	91	1
123	92	1
123	93	1
123	94	1
123	95	1
123	96	1
123	97	1
124	85	1
124	86	1
124	87	1
124	88	1
124	89	1
124	90	1
124	91	1
124	92	1
124	93	1
124	94	1
124	95	1
124	96	1
124	97	1
125	84	1
125	85	1
125	86	1
125	87	1
125	88	1
125	89	1
125	90	1
125	91	1
125	92	1
125	93	1
125	94	1
125	95	1
125	96	1
125	97	1
125	98	1
126	85	1
126	86	1
126	87	1
126	88	1
126	89	1
126	90	1
126	91	1
126	92	1
126	93	1
126	94	1
126	95	1
126	96	1
126	97	1
127	85	1
127	86	1
127	87	1
127	88	1
127	89	1
127	90	1
127	91	1
127	92	1
127	93	1
127	94	1
127	95	1
127	96	1
127	97	1
128	85	1
128	86	1
128	87	1
128	88	1
128	89	1
128	90	1
128	91	1
128	92	1
128	93	1
128	94	1
128	95	1
128	96	1
128	97	1
129	86	1
129	87	1
129	88	1
129	89	1
129	90	1
129	91	1
129	92	1
129	93	1
129	94	1
