pix_x	pix_y	Flag
55	72	-1
56	68	-1
56	69	-1
56	70	-1
56	71	-1
56	72	-1
56	73	-1
56	74	-1
56	75	-1
56	76	-1
57	66	-1
57	67	-1
57	68	-1
57	69	-1
57	70	-1
57	71	-1
57	72	-1
57	73	-1
57	74	-1
57	75	-1
57	76	-1
57	77	-1
57	78	-1
58	65	-1
58	66	-1
58	67	-1
58	68	-1
58	69	-1
58	70	-1
58	71	-1
58	72	-1
58	73	-1
58	74	-1
58	75	-1
58	76	-1
58	77	-1
58	78	-1
58	79	-1
59	64	-1
59	65	-1
59	66	-1
59	67	-1
59	68	-1
59	69	-1
59	70	-1
59	71	-1
59	72	-1
59	73	-1
59	74	-1
59	75	-1
59	76	-1
59	77	-1
59	78	-1
59	79	-1
59	80	-1
60	63	-1
60	64	-1
60	65	-1
60	66	-1
60	67	-1
60	68	-1
60	69	-1
60	70	-1
60	71	-1
60	72	-1
60	73	-1
60	74	-1
60	75	-1
60	76	-1
60	77	-1
60	78	-1
60	79	-1
60	80	-1
60	81	-1
61	62	-1
61	63	-1
61	64	-1
61	65	-1
61	66	-1
61	67	-1
61	68	-1
61	69	-1
61	70	-1
61	71	-1
61	72	-1
61	73	-1
61	74	-1
61	75	-1
61	76	-1
61	77	-1
61	78	-1
61	79	-1
61	80	-1
61	81	-1
61	82	-1
62	62	-1
62	63	-1
62	64	-1
62	65	-1
62	66	-1
62	67	-1
62	68	-1
62	69	-1
62	70	-1
62	71	-1
62	72	-1
62	73	-1
62	74	-1
62	75	-1
62	76	-1
62	77	-1
62	78	-1
62	79	-1
62	80	-1
62	81	-1
62	82	-1
63	61	-1
63	62	-1
63	63	-1
63	64	-1
63	65	-1
63	66	-1
63	67	-1
63	68	-1
63	69	-1
63	70	-1
63	71	-1
63	72	-1
63	73	-1
63	74	-1
63	75	-1
63	76	-1
63	77	-1
63	78	-1
63	79	-1
63	80	-1
63	81	-1
63	82	-1
63	83	-1
64	61	-1
64	62	-1
64	63	-1
64	64	-1
64	65	-1
64	66	-1
64	67	-1
64	68	-1
64	69	-1
64	70	-1
64	71	-1
64	72	-1
64	73	-1
64	74	-1
64	75	-1
64	76	-1
64	77	-1
64	78	-1
64	79	-1
64	80	-1
64	81	-1
64	82	-1
64	83	-1
65	61	-1
65	62	-1
65	63	-1
65	64	-1
65	65	-1
65	66	-1
65	67	-1
65	68	-1
65	69	-1
65	70	-1
65	71	-1
65	72	-1
65	73	-1
65	74	-1
65	75	-1
65	76	-1
65	77	-1
65	78	-1
65	79	-1
65	80	-1
65	81	-1
65	82	-1
65	83	-1
66	61	-1
66	62	-1
66	63	-1
66	64	-1
66	65	-1
66	66	-1
66	67	-1
66	68	-1
66	69	-1
66	70	-1
66	71	-1
66	72	-1
66	73	-1
66	74	-1
66	75	-1
66	76	-1
66	77	-1
