pix_x	pix_y	Flag
2	78	1
3	75	1
3	76	1
3	77	1
3	78	1
3	79	1
3	80	1
3	81	1
4	73	1
4	74	1
4	75	1
4	76	1
4	77	1
4	78	1
4	79	1
4	80	1
4	81	1
4	82	1
4	83	1
5	72	1
5	73	1
5	74	1
5	75	1
5	76	1
5	77	1
5	78	1
5	79	1
5	80	1
5	81	1
5	82	1
5	83	1
5	84	1
6	72	1
6	73	1
6	74	1
6	75	1
6	76	1
6	77	1
6	78	1
6	79	1
6	80	1
6	81	1
6	82	1
6	83	1
6	84	1
7	71	1
7	72	1
7	73	1
7	74	1
7	75	1
7	76	1
7	77	1
7	78	1
7	79	1
7	80	1
7	81	1
7	82	1
7	83	1
7	84	1
7	85	1
8	71	1
8	72	1
8	73	1
8	74	1
8	75	1
8	76	1
8	77	1
8	78	1
8	79	1
8	80	1
8	81	1
8	82	1
8	83	1
8	84	1
8	85	1
9	71	1
9	72	1
9	73	1
9	74	1
9	75	1
9	76	1
9	77	1
9	78	1
9	79	1
9	80	1
9	81	1
9	82	1
9	83	1
9	84	1
9	85	1
10	70	1
10	71	1
10	72	1
10	73	1
10	74	1
10	75	1
10	76	1
10	77	1
10	78	1
10	79	1
10	80	1
10	81	1
10	82	1
10	83	1
10	84	1
10	85	1
10	86	1
11	71	1
11	72	1
11	73	1
11	74	1
11	75	1
11	76	1
11	77	1
11	78	1
11	79	1
11	80	1
11	81	1
11	82	1
11	83	1
11	84	1
11	85	1
12	71	1
12	72	1
12	73	1
12	74	1
12	75	1
12	76	1
12	77	1
12	78	1
12	79	1
12	80	1
12	81	1
12	82	1
12	83	1
12	84	1
12	85	1
13	71	1
13	72	1
13	73	1
13	74	1
13	75	1
13	76	1
13	77	1
13	78	1
13	79	1
13	80	1
13	81	1
13	82	1
13	83	1
13	84	1
13	85	1
14	72	1
14	73	1
14	74	1
14	75	1
14	76	1
14	77	1
14	78	1
14	79	1
14	80	1
14	81	1
14	82	1
14	83	1
14	84	1
15	72	1
15	73	1
15	74	1
15	75	1
15	76	1
15	77	1
15	78	1
15	79	1
15	80	1
15	81	1
15	82	1
15	83	1
15	84	1
16	73	1
16	74	1
16	75	1
16	76	1
16	77	1
16	78	1
16	79	1
16	80	1
16	81	1
16	82	1
16	83	1
17	75	1
17	76	1
17	77	1
17	78	1
17	79	1
17	80	1
17	81	1
18	78	1
129	51	1
130	48	1
130	49	1
130	50	1
130	51	1
130	52	1
130	53	1
130	54	1
131	46	1
131	47	1
131	48	1
131	49	1
131	50	1
131	51	1
131	52	1
131	53	1
131	54	1
131	55	1
131	56	1
132	45	1
132	46	1
132	47	1
132	48	1
132	49	1
132	50	1
132	51	1
132	52	1
132	53	1
132	54	1
132	55	1
132	56	1
132	57	1
133	45	1
133	46	1
133	47	1
133	48	1
133	49	1
133	50	1
133	51	1
133	52	1
133	53	1
133	54	1
133	55	1
133	56	1
133	57	1
134	44	1
134	45	1
134	46	1
134	47	1
134	48	1
134	49	1
134	50	1
134	51	1
134	52	1
134	53	1
134	54	1
134	55	1
134	56	1
134	57	1
134	58	1
135	44	1
135	45	1
135	46	1
135	47	1
135	48	1
135	49	1
135	50	1
135	51	1
135	52	1
135	53	1
135	54	1
135	55	1
135	56	1
135	57	1
135	58	1
136	44	1
136	45	1
136	46	1
136	47	1
136	48	1
136	49	1
136	50	1
136	51	1
136	52	1
136	53	1
136	54	1
136	55	1
136	56	1
136	57	1
136	58	1
137	43	1
137	44	1
137	45	1
137	46	1
137	47	1
137	48	1
137	49	1
137	50	1
137	51	1
137	52	1
137	53	1
137	54	1
137	55	1
137	56	1
137	57	1
137	58	1
137	59	1
138	44	1
138	45	1
138	46	1
138	47	1
138	48	1
138	49	1
138	50	1
138	51	1
138	52	1
138	53	1
138	54	1
138	55	1
138	56	1
138	57	1
138	58	1
139	44	1
139	45	1
139	46	1
139	47	1
139	48	1
139	49	1
139	50	1
