pix_x	pix_y	Flag
96	36	1
97	33	1
97	34	1
97	35	1
97	36	1
97	37	1
97	38	1
97	39	1
98	32	1
98	33	1
98	34	1
98	35	1
98	36	1
98	37	1
98	38	1
98	39	1
98	40	1
99	31	1
99	32	1
99	33	1
99	34	1
99	35	1
99	36	1
99	37	1
99	38	1
99	39	1
99	40	1
99	41	1
100	30	1
100	31	1
100	32	1
100	33	1
100	34	1
100	35	1
100	36	1
100	37	1
100	38	1
100	39	1
100	40	1
100	41	1
100	42	1
101	30	1
101	31	1
101	32	1
101	33	1
101	34	1
101	35	1
101	36	1
101	37	1
101	38	1
101	39	1
101	40	1
101	41	1
101	42	1
102	30	1
102	31	1
102	32	1
102	33	1
102	34	1
102	35	1
102	36	1
102	37	1
102	38	1
102	39	1
102	40	1
102	41	1
102	42	1
103	29	1
103	30	1
103	31	1
103	32	1
103	33	1
103	34	1
103	35	1
103	36	1
103	37	1
103	38	1
103	39	1
103	40	1
103	41	1
103	42	1
103	43	1
104	30	1
104	31	1
104	32	1
104	33	1
104	34	1
104	35	1
104	36	1
104	37	1
104	38	1
104	39	1
104	40	1
104	41	1
104	42	1
105	30	1
105	31	1
105	32	1
105	33	1
105	34	1
105	35	1
105	36	1
105	37	1
105	38	1
105	39	1
105	40	1
105	41	1
105	42	1
106	30	1
106	31	1
106	32	1
106	33	1
106	34	1
106	35	1
106	36	1
106	37	1
106	38	1
106	39	1
106	40	1
106	41	1
106	42	1
107	31	1
107	32	1
107	33	1
107	34	1
107	35	1
107	36	1
107	37	1
107	38	1
107	39	1
107	40	1
107	41	1
108	32	1
108	33	1
108	34	1
108	35	1
108	36	1
108	37	1
108	38	1
108	39	1
108	40	1
109	33	1
109	34	1
109	35	1
109	36	1
109	37	1
109	38	1
109	39	1
110	36	1
