pix_x	pix_y	Flag
119	56	1
119	57	1
119	58	1
120	56	1
120	57	1
120	58	1
121	56	1
121	57	1
121	58	1
90	132	1
90	133	1
90	134	1
91	131	1
91	132	1
91	133	1
91	134	1
91	135	1
92	131	1
92	132	1
92	133	1
92	134	1
92	135	1
93	131	1
93	132	1
93	133	1
93	134	1
93	135	1
94	132	1
94	133	1
94	134	1
81	145	1
82	143	1
82	144	1
82	145	1
82	146	1
82	147	1
83	143	1
83	144	1
83	145	1
83	146	1
83	147	1
84	142	1
84	143	1
84	144	1
84	145	1
84	146	1
84	147	1
84	148	1
85	143	1
85	144	1
85	145	1
85	146	1
85	147	1
86	143	1
86	144	1
86	145	1
86	146	1
86	147	1
87	145	1
94	143	1
95	140	1
95	141	1
95	142	1
95	143	1
95	144	1
95	145	1
95	146	1
96	139	1
96	140	1
96	141	1
96	142	1
96	143	1
96	144	1
96	145	1
96	146	1
96	147	1
97	138	1
97	139	1
97	140	1
97	141	1
97	142	1
97	143	1
97	144	1
97	145	1
97	146	1
97	147	1
97	148	1
98	138	1
98	139	1
98	140	1
98	141	1
98	142	1
98	143	1
98	144	1
98	145	1
98	146	1
98	147	1
98	148	1
99	138	1
99	139	1
99	140	1
99	141	1
99	142	1
99	143	1
99	144	1
99	145	1
99	146	1
99	147	1
99	148	1
100	137	1
100	138	1
100	139	1
100	140	1
100	141	1
100	142	1
100	143	1
100	144	1
100	145	1
100	146	1
100	147	1
100	148	1
100	149	1
101	138	1
101	139	1
101	140	1
101	141	1
101	142	1
101	143	1
101	144	1
101	145	1
101	146	1
101	147	1
101	148	1
102	138	1
102	139	1
102	140	1
102	141	1
102	142	1
102	143	1
102	144	1
102	145	1
102	146	1
102	147	1
102	148	1
103	138	1
103	139	1
103	140	1
103	141	1
103	142	1
103	143	1
103	144	1
103	145	1
103	146	1
103	147	1
103	148	1
104	139	1
104	140	1
104	141	1
104	142	1
104	143	1
104	144	1
104	145	1
104	146	1
104	147	1
105	140	1
105	141	1
105	142	1
105	143	1
105	144	1
105	145	1
105	146	1
106	143	1
