pix_x	pix_y	Flag
96	51	1
97	50	1
97	51	1
97	52	1
98	49	1
98	50	1
98	51	1
98	52	1
98	53	1
99	50	1
99	51	1
99	52	1
100	51	1
51	15	1
52	14	1
52	15	1
52	16	1
53	13	1
53	14	1
53	15	1
53	16	1
53	17	1
54	14	1
54	15	1
54	16	1
55	15	1
17	113	1
18	110	1
18	111	1
18	112	1
18	113	1
18	114	1
18	115	1
18	116	1
19	109	1
19	110	1
19	111	1
19	112	1
19	113	1
19	114	1
19	115	1
19	116	1
19	117	1
20	109	1
20	110	1
20	111	1
20	112	1
20	113	1
20	114	1
20	115	1
20	116	1
20	117	1
21	109	1
21	110	1
21	111	1
21	112	1
21	113	1
21	114	1
21	115	1
21	116	1
21	117	1
22	108	1
22	109	1
22	110	1
22	111	1
22	112	1
22	113	1
22	114	1
22	115	1
22	116	1
22	117	1
22	118	1
23	109	1
23	110	1
23	111	1
23	112	1
23	113	1
23	114	1
23	115	1
23	116	1
23	117	1
24	109	1
24	110	1
24	111	1
24	112	1
24	113	1
24	114	1
24	115	1
24	116	1
24	117	1
25	109	1
25	110	1
25	111	1
25	112	1
25	113	1
25	114	1
25	115	1
25	116	1
25	117	1
26	110	1
26	111	1
26	112	1
26	113	1
26	114	1
26	115	1
26	116	1
27	113	1
69	135	1
70	131	1
70	132	1
70	133	1
70	134	1
70	135	1
70	136	1
70	137	1
70	138	1
70	139	1
71	130	1
71	131	1
71	132	1
71	133	1
71	134	1
71	135	1
71	136	1
71	137	1
71	138	1
71	139	1
71	140	1
72	129	1
72	130	1
72	131	1
72	132	1
72	133	1
72	134	1
72	135	1
72	136	1
72	137	1
72	138	1
72	139	1
72	140	1
72	141	1
73	128	1
73	129	1
73	130	1
73	131	1
73	132	1
73	133	1
73	134	1
73	135	1
73	136	1
73	137	1
73	138	1
73	139	1
73	140	1
73	141	1
73	142	1
74	127	1
74	128	1
74	129	1
74	130	1
74	131	1
74	132	1
74	133	1
74	134	1
74	135	1
74	136	1
74	137	1
74	138	1
74	139	1
74	140	1
74	141	1
74	142	1
74	143	1
75	127	1
75	128	1
75	129	1
75	130	1
75	131	1
75	132	1
75	133	1
75	134	1
75	135	1
75	136	1
75	137	1
75	138	1
75	139	1
75	140	1
75	141	1
75	142	1
75	143	1
76	127	1
76	128	1
76	129	1
76	130	1
76	131	1
76	132	1
76	133	1
76	134	1
76	135	1
76	136	1
76	137	1
76	138	1
76	139	1
76	140	1
76	141	1
76	142	1
76	143	1
77	127	1
77	128	1
77	129	1
77	130	1
77	131	1
77	132	1
77	133	1
77	134	1
77	135	1
77	136	1
77	137	1
77	138	1
77	139	1
77	140	1
77	141	1
77	142	1
77	143	1
78	126	1
78	127	1
78	128	1
78	129	1
78	130	1
78	131	1
78	132	1
78	133	1
78	134	1
78	135	1
78	136	1
78	137	1
78	138	1
78	139	1
78	140	1
78	141	1
78	142	1
78	143	1
78	144	1
79	127	1
79	128	1
79	129	1
79	130	1
79	131	1
79	132	1
79	133	1
79	134	1
79	135	1
79	136	1
79	137	1
79	138	1
79	139	1
79	140	1
79	141	1
79	142	1
79	143	1
80	127	1
80	128	1
80	129	1
80	130	1
80	131	1
80	132	1
80	133	1
80	134	1
80	135	1
80	136	1
80	137	1
80	138	1
80	139	1
80	140	1
80	141	1
80	142	1
80	143	1
81	127	1
81	128	1
81	129	1
81	130	1
81	131	1
81	132	1
81	133	1
81	134	1
81	135	1
81	136	1
81	137	1
81	138	1
81	139	1
81	140	1
81	141	1
81	142	1
81	143	1
82	127	1
82	128	1
82	129	1
82	130	1
82	131	1
82	132	1
82	133	1
82	134	1
82	135	1
82	136	1
82	137	1
82	138	1
82	139	1
82	140	1
82	141	1
82	142	1
82	143	1
83	128	1
83	129	1
83	130	1
83	131	1
83	132	1
83	133	1
83	134	1
83	135	1
83	136	1
83	137	1
83	138	1
83	139	1
83	140	1
83	141	1
83	142	1
84	129	1
84	130	1
84	131	1
84	132	1
84	133	1
84	134	1
84	135	1
84	136	1
84	137	1
84	138	1
84	139	1
84	140	1
84	141	1
85	130	1
85	131	1
85	132	1
85	133	1
85	134	1
85	135	1
85	136	1
85	137	1
85	138	1
85	139	1
85	140	1
86	131	1
86	132	1
86	133	1
86	134	1
86	135	1
86	136	1
86	137	1
86	138	1
86	139	1
87	135	1
29	35	1
30	34	1
30	35	1
30	36	1
31	33	1
31	34	1
31	35	1
31	36	1
31	37	1
32	34	1
32	35	1
32	36	1
33	35	1
46	54	1
47	50	1
47	51	1
47	52	1
47	53	1
47	54	1
47	55	1
47	56	1
47	57	1
47	58	1
48	49	1
48	50	1
48	51	1
48	52	1
48	53	1
48	54	1
48	55	1
48	56	1
48	57	1
48	58	1
48	59	1
49	48	1
49	49	1
49	50	1
49	51	1
49	52	1
49	53	1
49	54	1
49	55	1
49	56	1
49	57	1
49	58	1
49	59	1
49	60	1
50	47	1
50	48	1
50	49	1
50	50	1
50	51	1
50	52	1
50	53	1
50	54	1
50	55	1
50	56	1
50	57	1
50	58	1
50	59	1
50	60	1
50	61	1
51	46	1
51	47	1
51	48	1
51	49	1
51	50	1
51	51	1
51	52	1
51	53	1
51	54	1
51	55	1
51	56	1
51	57	1
51	58	1
51	59	1
51	60	1
51	61	1
51	62	1
52	46	1
52	47	1
52	48	1
52	49	1
52	50	1
52	51	1
52	52	1
52	53	1
52	54	1
52	55	1
52	56	1
52	57	1
52	58	1
52	59	1
52	60	1
52	61	1
52	62	1
53	46	1
53	47	1
53	48	1
53	49	1
53	50	1
53	51	1
53	52	1
53	53	1
53	54	1
53	55	1
53	56	1
53	57	1
53	58	1
53	59	1
53	60	1
53	61	1
53	62	1
54	46	1
54	47	1
54	48	1
54	49	1
54	50	1
54	51	1
54	52	1
54	53	1
54	54	1
54	55	1
54	56	1
54	57	1
54	58	1
54	59	1
54	60	1
54	61	1
54	62	1
55	45	1
55	46	1
55	47	1
55	48	1
55	49	1
55	50	1
55	51	1
55	52	1
55	53	1
55	54	1
55	55	1
55	56	1
55	57	1
55	58	1
55	59	1
55	60	1
55	61	1
55	62	1
55	63	1
56	46	1
56	47	1
56	48	1
56	49	1
56	50	1
56	51	1
56	52	1
56	53	1
56	54	1
56	55	1
56	56	1
56	57	1
56	58	1
56	59	1
56	60	1
56	61	1
56	62	1
57	46	1
57	47	1
57	48	1
57	49	1
57	50	1
57	51	1
57	52	1
57	53	1
57	54	1
57	55	1
57	56	1
57	57	1
57	58	1
57	59	1
57	60	1
57	61	1
57	62	1
58	46	1
58	47	1
58	48	1
58	49	1
58	50	1
58	51	1
58	52	1
58	53	1
58	54	1
58	55	1
58	56	1
58	57	1
58	58	1
58	59	1
58	60	1
58	61	1
58	62	1
59	46	1
59	47	1
59	48	1
59	49	1
59	50	1
59	51	1
59	52	1
59	53	1
59	54	1
59	55	1
59	56	1
59	57	1
59	58	1
59	59	1
59	60	1
59	61	1
59	62	1
60	47	1
60	48	1
60	49	1
60	50	1
60	51	1
60	52	1
60	53	1
60	54	1
60	55	1
60	56	1
60	57	1
60	58	1
60	59	1
60	60	1
60	61	1
61	48	1
61	49	1
61	50	1
61	51	1
61	52	1
61	53	1
61	54	1
61	55	1
61	56	1
61	57	1
61	58	1
61	59	1
61	60	1
62	49	1
62	50	1
62	51	1
62	52	1
62	53	1
62	54	1
62	55	1
62	56	1
62	57	1
62	58	1
62	59	1
63	50	1
63	51	1
63	52	1
63	53	1
63	54	1
63	55	1
63	56	1
63	57	1
63	58	1
64	54	1
75	151	1
75	152	1
75	153	1
76	150	1
76	151	1
76	152	1
76	153	1
76	154	1
77	150	1
77	151	1
77	152	1
77	153	1
77	154	1
78	150	1
78	151	1
78	152	1
78	153	1
78	154	1
79	151	1
79	152	1
79	153	1
