pix_x	pix_y	Flag
86	68	1
87	66	1
87	67	1
87	68	1
87	69	1
87	70	1
88	66	1
88	67	1
88	68	1
88	69	1
88	70	1
89	65	1
89	66	1
89	67	1
89	68	1
89	69	1
89	70	1
89	71	1
90	66	1
90	67	1
90	68	1
90	69	1
90	70	1
91	66	1
91	67	1
91	68	1
91	69	1
91	70	1
92	68	1
114	68	1
115	65	1
115	66	1
115	67	1
115	68	1
115	69	1
115	70	1
115	71	1
116	64	1
116	65	1
116	66	1
116	67	1
116	68	1
116	69	1
116	70	1
116	71	1
116	72	1
117	64	1
117	65	1
117	66	1
117	67	1
117	68	1
117	69	1
117	70	1
117	71	1
117	72	1
118	64	1
118	65	1
118	66	1
118	67	1
118	68	1
118	69	1
118	70	1
118	71	1
118	72	1
119	63	1
119	64	1
119	65	1
119	66	1
119	67	1
119	68	1
119	69	1
119	70	1
119	71	1
119	72	1
119	73	1
120	64	1
120	65	1
120	66	1
120	67	1
120	68	1
120	69	1
120	70	1
120	71	1
120	72	1
121	64	1
121	65	1
121	66	1
121	67	1
121	68	1
121	69	1
121	70	1
121	71	1
121	72	1
122	64	1
122	65	1
122	66	1
122	67	1
122	68	1
122	69	1
122	70	1
122	71	1
122	72	1
123	65	1
123	66	1
123	67	1
123	68	1
123	69	1
123	70	1
123	71	1
124	68	1
116	77	1
117	74	1
117	75	1
117	76	1
117	77	1
117	78	1
117	79	1
117	80	1
118	73	1
118	74	1
118	75	1
118	76	1
118	77	1
118	78	1
118	79	1
118	80	1
118	81	1
119	72	1
119	73	1
119	74	1
119	75	1
119	76	1
119	77	1
119	78	1
119	79	1
119	80	1
119	81	1
119	82	1
120	72	1
120	73	1
120	74	1
120	75	1
120	76	1
120	77	1
120	78	1
120	79	1
120	80	1
120	81	1
120	82	1
121	72	1
121	73	1
121	74	1
121	75	1
121	76	1
121	77	1
121	78	1
121	79	1
121	80	1
121	81	1
121	82	1
122	71	1
122	72	1
122	73	1
122	74	1
122	75	1
122	76	1
122	77	1
122	78	1
122	79	1
122	80	1
122	81	1
122	82	1
122	83	1
123	72	1
123	73	1
123	74	1
123	75	1
123	76	1
123	77	1
123	78	1
123	79	1
123	80	1
123	81	1
123	82	1
124	72	1
124	73	1
124	74	1
124	75	1
124	76	1
124	77	1
124	78	1
124	79	1
124	80	1
124	81	1
124	82	1
125	72	1
125	73	1
125	74	1
125	75	1
125	76	1
125	77	1
125	78	1
125	79	1
125	80	1
125	81	1
125	82	1
126	73	1
126	74	1
126	75	1
126	76	1
126	77	1
126	78	1
126	79	1
126	80	1
126	81	1
127	74	1
127	75	1
127	76	1
127	77	1
127	78	1
127	79	1
127	80	1
128	77	1
